Search Term,vegan restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,41
2016-12-03,39
2016-12-10,41
2016-12-17,43
2016-12-24,50
2016-12-31,54
2017-01-07,48
2017-01-14,48
2017-01-21,48
2017-01-28,48
2017-02-04,48
2017-02-11,55
2017-02-18,54
2017-02-25,58
2017-03-04,55
2017-03-11,53
2017-03-18,56
2017-03-25,57
2017-04-01,53
2017-04-08,59
2017-04-15,51
2017-04-22,50
2017-04-29,52
2017-05-06,57
2017-05-13,54
2017-05-20,55
2017-05-27,56
2017-06-03,54
2017-06-10,63
2017-06-17,64
2017-06-24,72
2017-07-01,78
2017-07-08,86
2017-07-15,92
2017-07-22,92
2017-07-29,94
2017-08-05,99
2017-08-12,91
2017-08-19,82
2017-08-26,80
2017-09-02,83
2017-09-09,77
2017-09-16,79
2017-09-23,72
2017-09-30,70
2017-10-07,72
2017-10-14,73
2017-10-21,67
2017-10-28,70
2017-11-04,67
2017-11-11,67
2017-11-18,62
2017-11-25,61
2017-12-02,62
2017-12-09,62
2017-12-16,70
2017-12-23,77
2017-12-30,84
2018-01-06,78
2018-01-13,77
2018-01-20,82
2018-01-27,72
2018-02-03,73
2018-02-10,82
2018-02-17,77
2018-02-24,72
2018-03-03,76
2018-03-10,74
2018-03-17,74
2018-03-24,81
2018-03-31,76
2018-04-07,70
2018-04-14,74
2018-04-21,81
2018-04-28,66
2018-05-05,70
2018-05-12,70
2018-05-19,69
2018-05-26,75
2018-06-02,73
2018-06-09,74
2018-06-16,83
2018-06-23,75
2018-06-30,76
2018-07-07,79
2018-07-14,72
2018-07-21,78
2018-07-28,77
2018-08-04,80
2018-08-11,80
2018-08-18,75
2018-08-25,67
2018-09-01,69
2018-09-08,54
2018-09-15,64
2018-09-22,66
2018-09-29,61
2018-10-06,63
2018-10-13,65
2018-10-20,64
2018-10-27,54
2018-11-03,61
2018-11-10,61
2018-11-17,61
2018-11-24,57
2018-12-01,53
2018-12-08,56
2018-12-15,64
2018-12-22,71
2018-12-29,79
2019-01-05,70
2019-01-12,73
2019-01-19,69
2019-01-26,66
2019-02-02,64
2019-02-09,72
2019-02-16,68
2019-02-23,63
2019-03-02,69
2019-03-09,69
2019-03-16,76
2019-03-23,72
2019-03-30,73
2019-04-06,71
2019-04-13,74
2019-04-20,64
2019-04-27,71
2019-05-04,69
2019-05-11,66
2019-05-18,71
2019-05-25,74
2019-06-01,71
2019-06-08,75
2019-06-15,73
2019-06-22,77
2019-06-29,80
2019-07-06,80
2019-07-13,69
2019-07-20,76
2019-07-27,79
2019-08-03,78
2019-08-10,80
2019-08-17,74
2019-08-24,71
2019-08-31,69
2019-09-07,67
2019-09-14,63
2019-09-21,56
2019-09-28,69
2019-10-05,62
2019-10-12,68
2019-10-19,72
2019-10-26,66
2019-11-02,75
2019-11-09,74
2019-11-16,77
2019-11-23,67
2019-11-30,69
2019-12-07,64
2019-12-14,71
2019-12-21,81
2019-12-28,94
2020-01-04,88
2020-01-11,86
2020-01-18,84
2020-01-25,79
2020-02-01,75
2020-02-08,100
2020-02-15,86
2020-02-22,74
2020-02-29,71
