Search Term,vegetarian near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,0
2012-12-01,0
2012-12-08,0
2012-12-15,0
2012-12-22,0
2012-12-29,0
2013-01-05,0
2013-01-12,4
2013-01-19,0
2013-01-26,0
2013-02-02,0
2013-02-09,0
2013-02-16,0
2013-02-23,3
2013-03-02,0
2013-03-09,0
2013-03-16,3
2013-03-23,0
2013-03-30,0
2013-04-06,3
2013-04-13,0
2013-04-20,0
2013-04-27,4
2013-05-04,0
2013-05-11,3
2013-05-18,0
2013-05-25,0
2013-06-01,6
2013-06-08,4
2013-06-15,4
2013-06-22,6
2013-06-29,5
2013-07-06,7
2013-07-13,5
2013-07-20,4
2013-07-27,5
2013-08-03,6
2013-08-10,4
2013-08-17,5
2013-08-24,6
2013-08-31,4
2013-09-07,3
2013-09-14,6
2013-09-21,6
2013-09-28,5
2013-10-05,8
2013-10-12,6
2013-10-19,7
2013-10-26,5
2013-11-02,7
2013-11-09,5
2013-11-16,5
2013-11-23,6
2013-11-30,4
2013-12-07,5
2013-12-14,5
2013-12-21,8
2013-12-28,9
2014-01-04,6
2014-01-11,7
2014-01-18,6
2014-01-25,7
2014-02-01,4
2014-02-08,10
2014-02-15,9
2014-02-22,6
2014-03-01,9
2014-03-08,10
2014-03-15,7
2014-03-22,6
2014-03-29,10
2014-04-05,13
2014-04-12,10
2014-04-19,7
2014-04-26,8
2014-05-03,9
2014-05-10,7
2014-05-17,10
2014-05-24,10
2014-05-31,10
2014-06-07,11
2014-06-14,11
2014-06-21,12
2014-06-28,14
2014-07-05,15
2014-07-12,11
2014-07-19,15
2014-07-26,15
2014-08-02,16
2014-08-09,12
2014-08-16,14
2014-08-23,18
2014-08-30,12
2014-09-06,11
2014-09-13,13
2014-09-20,9
2014-09-27,12
2014-10-04,14
2014-10-11,12
2014-10-18,16
2014-10-25,12
2014-11-01,14
2014-11-08,15
2014-11-15,7
2014-11-22,9
2014-11-29,8
2014-12-06,10
2014-12-13,10
2014-12-20,12
2014-12-27,15
2015-01-03,13
2015-01-10,13
2015-01-17,12
2015-01-24,12
2015-01-31,11
2015-02-07,13
2015-02-14,19
2015-02-21,17
2015-02-28,20
2015-03-07,18
2015-03-14,21
2015-03-21,23
2015-03-28,20
2015-04-04,18
2015-04-11,17
2015-04-18,11
2015-04-25,16
2015-05-02,14
2015-05-09,17
2015-05-16,19
2015-05-23,20
2015-05-30,21
2015-06-06,20
2015-06-13,20
2015-06-20,25
2015-06-27,25
2015-07-04,28
2015-07-11,31
2015-07-18,31
2015-07-25,38
2015-08-01,38
2015-08-08,30
2015-08-15,38
2015-08-22,34
2015-08-29,28
2015-09-05,30
2015-09-12,30
2015-09-19,27
2015-09-26,28
2015-10-03,27
2015-10-10,37
2015-10-17,27
2015-10-24,28
2015-10-31,31
2015-11-07,39
2015-11-14,28
2015-11-21,34
2015-11-28,28
2015-12-05,29
2015-12-12,36
2015-12-19,45
2015-12-26,54
2016-01-02,40
2016-01-09,42
2016-01-16,36
2016-01-23,41
2016-01-30,41
2016-02-06,46
2016-02-13,57
2016-02-20,49
2016-02-27,51
2016-03-05,49
2016-03-12,50
2016-03-19,57
2016-03-26,51
2016-04-02,51
2016-04-09,50
2016-04-16,52
2016-04-23,58
2016-04-30,58
2016-05-07,63
2016-05-14,59
2016-05-21,66
2016-05-28,70
2016-06-04,58
2016-06-11,67
2016-06-18,73
2016-06-25,76
2016-07-02,80
2016-07-09,78
2016-07-16,85
2016-07-23,83
2016-07-30,83
2016-08-06,74
2016-08-13,68
2016-08-20,80
2016-08-27,75
2016-09-03,76
2016-09-10,75
2016-09-17,68
2016-09-24,74
2016-10-01,73
2016-10-08,74
2016-10-15,75
2016-10-22,75
2016-10-29,75
2016-11-05,69
2016-11-12,73
2016-11-19,68
2016-11-26,66
2016-12-03,73
2016-12-10,73
2016-12-17,88
2016-12-24,95
2016-12-31,100
