Search Term,vegetarian diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,72
2016-12-03,53
2016-12-10,46
2016-12-17,52
2016-12-24,69
2016-12-31,87
2017-01-07,73
2017-01-14,70
2017-01-21,65
2017-01-28,68
2017-02-04,64
2017-02-11,55
2017-02-18,76
2017-02-25,71
2017-03-04,70
2017-03-11,64
2017-03-18,67
2017-03-25,71
2017-04-01,77
2017-04-08,71
2017-04-15,70
2017-04-22,75
2017-04-29,63
2017-05-06,65
2017-05-13,57
2017-05-20,64
2017-05-27,63
2017-06-03,69
2017-06-10,69
2017-06-17,65
2017-06-24,73
2017-07-01,77
2017-07-08,81
2017-07-15,73
2017-07-22,72
2017-07-29,77
2017-08-05,70
2017-08-12,70
2017-08-19,71
2017-08-26,69
2017-09-02,73
2017-09-09,73
2017-09-16,79
2017-09-23,62
2017-09-30,63
2017-10-07,63
2017-10-14,56
2017-10-21,64
2017-10-28,69
2017-11-04,72
2017-11-11,67
2017-11-18,51
2017-11-25,64
2017-12-02,53
2017-12-09,56
2017-12-16,54
2017-12-23,78
2017-12-30,100
2018-01-06,85
2018-01-13,80
2018-01-20,70
2018-01-27,68
2018-02-03,70
2018-02-10,69
2018-02-17,73
2018-02-24,63
2018-03-03,79
2018-03-10,65
2018-03-17,67
2018-03-24,65
2018-03-31,71
2018-04-07,60
2018-04-14,66
2018-04-21,66
2018-04-28,69
2018-05-05,71
2018-05-12,61
2018-05-19,72
2018-05-26,65
2018-06-02,71
2018-06-09,69
2018-06-16,68
2018-06-23,70
2018-06-30,70
2018-07-07,65
2018-07-14,66
2018-07-21,69
2018-07-28,67
2018-08-04,60
2018-08-11,63
2018-08-18,58
2018-08-25,58
2018-09-01,62
2018-09-08,53
2018-09-15,49
2018-09-22,49
2018-09-29,59
2018-10-06,57
2018-10-13,49
2018-10-20,56
2018-10-27,48
2018-11-03,46
2018-11-10,55
2018-11-17,51
2018-11-24,61
2018-12-01,58
2018-12-08,55
2018-12-15,49
2018-12-22,61
2018-12-29,86
2019-01-05,68
2019-01-12,75
2019-01-19,60
2019-01-26,63
2019-02-02,52
2019-02-09,52
2019-02-16,65
2019-02-23,56
2019-03-02,60
2019-03-09,62
2019-03-16,60
2019-03-23,64
2019-03-30,63
2019-04-06,58
2019-04-13,52
2019-04-20,66
2019-04-27,56
2019-05-04,63
2019-05-11,62
2019-05-18,63
2019-05-25,56
2019-06-01,60
2019-06-08,66
2019-06-15,59
2019-06-22,68
2019-06-29,63
2019-07-06,63
2019-07-13,68
2019-07-20,59
2019-07-27,63
2019-08-03,63
2019-08-10,61
2019-08-17,60
2019-08-24,57
2019-08-31,56
2019-09-07,58
2019-09-14,62
2019-09-21,51
2019-09-28,54
2019-10-05,47
2019-10-12,54
2019-10-19,61
2019-10-26,69
2019-11-02,80
2019-11-09,72
2019-11-16,73
2019-11-23,68
2019-11-30,59
2019-12-07,54
2019-12-14,53
2019-12-21,60
2019-12-28,80
2020-01-04,68
2020-01-11,64
2020-01-18,58
2020-01-25,56
2020-02-01,53
2020-02-08,61
2020-02-15,57
2020-02-22,58
2020-02-29,48
