Search Term,vegan recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,41
2008-12-06,43
2008-12-13,49
2008-12-20,65
2008-12-27,43
2009-01-03,40
2009-01-10,35
2009-01-17,36
2009-01-24,37
2009-01-31,41
2009-02-07,36
2009-02-14,38
2009-02-21,38
2009-02-28,39
2009-03-07,37
2009-03-14,34
2009-03-21,36
2009-03-28,42
2009-04-04,43
2009-04-11,42
2009-04-18,35
2009-04-25,34
2009-05-02,38
2009-05-09,34
2009-05-16,33
2009-05-23,38
2009-05-30,42
2009-06-06,42
2009-06-13,39
2009-06-20,39
2009-06-27,42
2009-07-04,38
2009-07-11,43
2009-07-18,37
2009-07-25,40
2009-08-01,42
2009-08-08,46
2009-08-15,42
2009-08-22,44
2009-08-29,44
2009-09-05,43
2009-09-12,42
2009-09-19,44
2009-09-26,45
2009-10-03,43
2009-10-10,43
2009-10-17,44
2009-10-24,50
2009-10-31,49
2009-11-07,49
2009-11-14,52
2009-11-21,77
2009-11-28,48
2009-12-05,52
2009-12-12,55
2009-12-19,76
2009-12-26,54
2010-01-02,51
2010-01-09,48
2010-01-16,49
2010-01-23,49
2010-01-30,49
2010-02-06,52
2010-02-13,52
2010-02-20,49
2010-02-27,47
2010-03-06,47
2010-03-13,47
2010-03-20,51
2010-03-27,53
2010-04-03,45
2010-04-10,43
2010-04-17,44
2010-04-24,44
2010-05-01,46
2010-05-08,43
2010-05-15,41
2010-05-22,42
2010-05-29,42
2010-06-05,42
2010-06-12,43
2010-06-19,41
2010-06-26,46
2010-07-03,42
2010-07-10,45
2010-07-17,46
2010-07-24,45
2010-07-31,49
2010-08-07,50
2010-08-14,47
2010-08-21,48
2010-08-28,46
2010-09-04,49
2010-09-11,47
2010-09-18,47
2010-09-25,41
2010-10-02,47
2010-10-09,46
2010-10-16,51
2010-10-23,46
2010-10-30,51
2010-11-06,51
2010-11-13,58
2010-11-20,78
2010-11-27,52
2010-12-04,53
2010-12-11,56
2010-12-18,75
2010-12-25,54
2011-01-01,53
2011-01-08,52
2011-01-15,53
2011-01-22,52
2011-01-29,57
2011-02-05,54
2011-02-12,51
2011-02-19,49
2011-02-26,50
2011-03-05,52
2011-03-12,50
2011-03-19,52
2011-03-26,51
2011-04-02,54
2011-04-09,49
2011-04-16,62
2011-04-23,47
2011-04-30,48
2011-05-07,49
2011-05-14,49
2011-05-21,48
2011-05-28,48
2011-06-04,47
2011-06-11,46
2011-06-18,52
2011-06-25,49
2011-07-02,48
2011-07-09,48
2011-07-16,48
2011-07-23,49
2011-07-30,50
2011-08-06,53
2011-08-13,51
2011-08-20,53
2011-08-27,48
2011-09-03,53
2011-09-10,50
2011-09-17,53
2011-09-24,55
2011-10-01,61
2011-10-08,63
2011-10-15,59
2011-10-22,66
2011-10-29,62
2011-11-05,62
2011-11-12,67
2011-11-19,92
2011-11-26,58
2011-12-03,62
2011-12-10,71
2011-12-17,91
2011-12-24,70
2011-12-31,70
2012-01-07,69
2012-01-14,69
2012-01-21,65
2012-01-28,65
2012-02-04,66
2012-02-11,65
2012-02-18,67
2012-02-25,67
2012-03-03,63
2012-03-10,65
2012-03-17,61
2012-03-24,63
2012-03-31,72
2012-04-07,62
2012-04-14,57
2012-04-21,66
2012-04-28,63
2012-05-05,61
2012-05-12,65
2012-05-19,63
2012-05-26,69
2012-06-02,67
2012-06-09,63
2012-06-16,68
2012-06-23,65
2012-06-30,70
2012-07-07,68
2012-07-14,66
2012-07-21,73
2012-07-28,63
2012-08-04,66
2012-08-11,74
2012-08-18,70
2012-08-25,70
2012-09-01,68
2012-09-08,69
2012-09-15,70
2012-09-22,73
2012-09-29,73
2012-10-06,73
2012-10-13,70
2012-10-20,69
2012-10-27,69
2012-11-03,66
2012-11-10,79
2012-11-17,100
2012-11-24,67
2012-12-01,68
2012-12-08,73
2012-12-15,81
2012-12-22,94
2012-12-29,88
