Search Term,plant based diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,13
2016-12-03,10
2016-12-10,8
2016-12-17,10
2016-12-24,13
2016-12-31,18
2017-01-07,12
2017-01-14,11
2017-01-21,12
2017-01-28,11
2017-02-04,11
2017-02-11,8
2017-02-18,5
2017-02-25,9
2017-03-04,10
2017-03-11,13
2017-03-18,7
2017-03-25,8
2017-04-01,0
2017-04-08,6
2017-04-15,8
2017-04-22,10
2017-04-29,0
2017-05-06,7
2017-05-13,15
2017-05-20,9
2017-05-27,7
2017-06-03,9
2017-06-10,10
2017-06-17,30
2017-06-24,52
2017-07-01,40
2017-07-08,47
2017-07-15,51
2017-07-22,46
2017-07-29,39
2017-08-05,42
2017-08-12,41
2017-08-19,36
2017-08-26,30
2017-09-02,25
2017-09-09,23
2017-09-16,22
2017-09-23,17
2017-09-30,23
2017-10-07,18
2017-10-14,16
2017-10-21,17
2017-10-28,15
2017-11-04,13
2017-11-11,17
2017-11-18,15
2017-11-25,18
2017-12-02,12
2017-12-09,8
2017-12-16,8
2017-12-23,16
2017-12-30,21
2018-01-06,21
2018-01-13,17
2018-01-20,17
2018-01-27,14
2018-02-03,19
2018-02-10,17
2018-02-17,16
2018-02-24,11
2018-03-03,14
2018-03-10,14
2018-03-17,9
2018-03-24,12
2018-03-31,16
2018-04-07,14
2018-04-14,13
2018-04-21,13
2018-04-28,16
2018-05-05,10
2018-05-12,13
2018-05-19,10
2018-05-26,12
2018-06-02,14
2018-06-09,11
2018-06-16,7
2018-06-23,10
2018-06-30,14
2018-07-07,10
2018-07-14,13
2018-07-21,12
2018-07-28,13
2018-08-04,11
2018-08-11,12
2018-08-18,12
2018-08-25,13
2018-09-01,15
2018-09-08,14
2018-09-15,10
2018-09-22,12
2018-09-29,11
2018-10-06,12
2018-10-13,7
2018-10-20,10
2018-10-27,14
2018-11-03,10
2018-11-10,9
2018-11-17,8
2018-11-24,11
2018-12-01,11
2018-12-08,5
2018-12-15,9
2018-12-22,12
2018-12-29,21
2019-01-05,18
2019-01-12,13
2019-01-19,14
2019-01-26,19
2019-02-02,16
2019-02-09,18
2019-02-16,13
2019-02-23,19
2019-03-02,14
2019-03-09,14
2019-03-16,14
2019-03-23,13
2019-03-30,13
2019-04-06,13
2019-04-13,11
2019-04-20,16
2019-04-27,18
2019-05-04,14
2019-05-11,13
2019-05-18,15
2019-05-25,12
2019-06-01,13
2019-06-08,20
2019-06-15,14
2019-06-22,17
2019-06-29,13
2019-07-06,18
2019-07-13,17
2019-07-20,22
2019-07-27,24
2019-08-03,21
2019-08-10,19
2019-08-17,16
2019-08-24,18
2019-08-31,22
2019-09-07,16
2019-09-14,13
2019-09-21,9
2019-09-28,14
2019-10-05,20
2019-10-12,32
2019-10-19,100
2019-10-26,91
2019-11-02,92
2019-11-09,85
2019-11-16,67
2019-11-23,62
2019-11-30,55
2019-12-07,46
2019-12-14,45
2019-12-21,52
2019-12-28,77
2020-01-04,53
2020-01-11,53
2020-01-18,40
2020-01-25,35
2020-02-01,31
2020-02-08,29
2020-02-15,34
2020-02-22,27
2020-02-29,26
