Search Term,plant based restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,0
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,0
2017-01-07,0
2017-01-14,0
2017-01-21,0
2017-01-28,30
2017-02-04,0
2017-02-11,0
2017-02-18,0
2017-02-25,0
2017-03-04,0
2017-03-11,19
2017-03-18,0
2017-03-25,0
2017-04-01,0
2017-04-08,0
2017-04-15,0
2017-04-22,0
2017-04-29,0
2017-05-06,0
2017-05-13,0
2017-05-20,27
2017-05-27,0
2017-06-03,0
2017-06-10,0
2017-06-17,25
2017-06-24,22
2017-07-01,35
2017-07-08,31
2017-07-15,23
2017-07-22,0
2017-07-29,37
2017-08-05,24
2017-08-12,0
2017-08-19,0
2017-08-26,0
2017-09-02,20
2017-09-09,0
2017-09-16,0
2017-09-23,21
2017-09-30,25
2017-10-07,32
2017-10-14,0
2017-10-21,25
2017-10-28,0
2017-11-04,0
2017-11-11,0
2017-11-18,0
2017-11-25,0
2017-12-02,23
2017-12-09,0
2017-12-16,0
2017-12-23,23
2017-12-30,48
2018-01-06,30
2018-01-13,31
2018-01-20,19
2018-01-27,0
2018-02-03,24
2018-02-10,0
2018-02-17,27
2018-02-24,23
2018-03-03,29
2018-03-10,28
2018-03-17,31
2018-03-24,24
2018-03-31,0
2018-04-07,38
2018-04-14,25
2018-04-21,22
2018-04-28,0
2018-05-05,33
2018-05-12,23
2018-05-19,31
2018-05-26,23
2018-06-02,18
2018-06-09,23
2018-06-16,0
2018-06-23,24
2018-06-30,19
2018-07-07,27
2018-07-14,24
2018-07-21,34
2018-07-28,24
2018-08-04,28
2018-08-11,31
2018-08-18,25
2018-08-25,20
2018-09-01,19
2018-09-08,26
2018-09-15,33
2018-09-22,0
2018-09-29,0
2018-10-06,24
2018-10-13,0
2018-10-20,0
2018-10-27,31
2018-11-03,0
2018-11-10,25
2018-11-17,19
2018-11-24,25
2018-12-01,27
2018-12-08,28
2018-12-15,25
2018-12-22,25
2018-12-29,29
2019-01-05,35
2019-01-12,20
2019-01-19,49
2019-01-26,38
2019-02-02,24
2019-02-09,23
2019-02-16,40
2019-02-23,27
2019-03-02,36
2019-03-09,44
2019-03-16,68
2019-03-23,45
2019-03-30,45
2019-04-06,32
2019-04-13,39
2019-04-20,35
2019-04-27,37
2019-05-04,40
2019-05-11,32
2019-05-18,30
2019-05-25,33
2019-06-01,44
2019-06-08,46
2019-06-15,42
2019-06-22,32
2019-06-29,52
2019-07-06,55
2019-07-13,44
2019-07-20,43
2019-07-27,53
2019-08-03,54
2019-08-10,45
2019-08-17,45
2019-08-24,42
2019-08-31,40
2019-09-07,44
2019-09-14,66
2019-09-21,54
2019-09-28,56
2019-10-05,51
2019-10-12,48
2019-10-19,72
2019-10-26,90
2019-11-02,98
2019-11-09,95
2019-11-16,78
2019-11-23,74
2019-11-30,59
2019-12-07,68
2019-12-14,65
2019-12-21,60
2019-12-28,91
2020-01-04,93
2020-01-11,83
2020-01-18,100
2020-01-25,78
2020-02-01,87
2020-02-08,88
2020-02-15,85
2020-02-22,79
2020-02-29,82
