,Search Term,plant based restaurants
0,2016-11-26,0.0
1,2016-12-03,0.0
2,2016-12-10,0.0
3,2016-12-17,0.0
4,2016-12-24,0.0
5,2016-12-31,0.0
6,2017-01-07,9.62962962962963
7,2017-01-14,0.0
8,2017-01-21,17.333333333333332
9,2017-01-28,0.0
10,2017-02-04,14.444444444444443
11,2017-02-11,0.0
12,2017-02-18,0.0
13,2017-02-25,9.62962962962963
14,2017-03-04,0.0
15,2017-03-11,0.0
16,2017-03-18,0.0
17,2017-03-25,0.0
18,2017-04-01,10.592592592592592
19,2017-04-08,0.0
20,2017-04-15,11.555555555555555
21,2017-04-22,0.0
22,2017-04-29,0.0
23,2017-05-06,0.0
24,2017-05-13,0.0
25,2017-05-20,0.0
26,2017-05-27,0.0
27,2017-06-03,0.0
28,2017-06-10,0.0
29,2017-06-17,17.333333333333332
30,2017-06-24,14.444444444444443
31,2017-07-01,0.0
32,2017-07-08,20.22222222222222
33,2017-07-15,32.74074074074074
34,2017-07-22,39.48148148148148
35,2017-07-29,27.925925925925927
36,2017-08-05,37.55555555555555
37,2017-08-12,26.0
38,2017-08-19,21.185185185185183
39,2017-08-26,17.333333333333332
40,2017-09-02,25.037037037037035
41,2017-09-09,17.333333333333332
42,2017-09-16,14.444444444444443
43,2017-09-23,10.592592592592592
44,2017-09-30,13.481481481481481
45,2017-10-07,20.22222222222222
46,2017-10-14,0.0
47,2017-10-21,13.481481481481481
48,2017-10-28,0.0
49,2017-11-04,10.592592592592592
50,2017-11-11,10.592592592592592
51,2017-11-18,0.0
52,2017-11-25,12.518518518518517
53,2017-12-02,0.0
54,2017-12-09,0.0
55,2017-12-16,14.444444444444443
56,2017-12-23,21.185185185185183
57,2017-12-30,21.185185185185183
58,2018-01-06,21.185185185185183
59,2018-01-13,15.407407407407407
60,2018-01-20,26.0
61,2018-01-27,17.333333333333332
62,2018-02-03,15.407407407407407
63,2018-02-10,19.25925925925926
64,2018-02-17,16.37037037037037
65,2018-02-24,11.555555555555555
66,2018-03-03,22.148148148148145
67,2018-03-10,16.37037037037037
68,2018-03-17,16.37037037037037
69,2018-03-24,15.407407407407407
70,2018-03-31,18.296296296296294
71,2018-04-07,17.333333333333332
72,2018-04-14,18.296296296296294
73,2018-04-21,16.37037037037037
74,2018-04-28,16.37037037037037
75,2018-05-05,13.481481481481481
76,2018-05-12,17.333333333333332
77,2018-05-19,22.148148148148145
78,2018-05-26,18.296296296296294
79,2018-06-02,17.333333333333332
80,2018-06-09,12.518518518518517
81,2018-06-16,17.333333333333332
82,2018-06-23,15.407407407407407
83,2018-06-30,12.518518518518517
84,2018-07-07,21.185185185185183
85,2018-07-14,14.444444444444443
86,2018-07-21,17.333333333333332
87,2018-07-28,18.296296296296294
88,2018-08-04,15.407407407407407
89,2018-08-11,18.296296296296294
90,2018-08-18,17.333333333333332
91,2018-08-25,16.37037037037037
92,2018-09-01,11.555555555555555
93,2018-09-08,18.296296296296294
94,2018-09-15,10.592592592592592
95,2018-09-22,19.25925925925926
96,2018-09-29,15.407407407407407
97,2018-10-06,14.444444444444443
98,2018-10-13,14.444444444444443
99,2018-10-20,18.296296296296294
100,2018-10-27,10.592592592592592
101,2018-11-03,10.592592592592592
102,2018-11-10,21.185185185185183
103,2018-11-17,10.592592592592592
104,2018-11-24,13.481481481481481
105,2018-12-01,22.148148148148145
106,2018-12-08,0.0
107,2018-12-15,9.62962962962963
108,2018-12-22,15.407407407407407
109,2018-12-29,22.148148148148145
110,2019-01-05,24.074074074074073
111,2019-01-12,24.074074074074073
112,2019-01-19,28.888888888888886
113,2019-01-26,25.037037037037035
114,2019-02-02,26.0
115,2019-02-09,26.0
116,2019-02-16,21.185185185185183
117,2019-02-23,20.22222222222222
118,2019-03-02,23.11111111111111
119,2019-03-09,25.037037037037035
120,2019-03-16,44.29629629629629
121,2019-03-23,29.85185185185185
122,2019-03-30,25.037037037037035
123,2019-04-06,31.77777777777778
124,2019-04-13,19.25925925925926
125,2019-04-20,21.185185185185183
126,2019-04-27,29.85185185185185
127,2019-05-04,32.74074074074074
128,2019-05-11,28.888888888888886
129,2019-05-18,27.925925925925927
130,2019-05-25,29.85185185185185
131,2019-06-01,24.074074074074073
132,2019-06-08,26.0
133,2019-06-15,29.85185185185185
134,2019-06-22,30.814814814814813
135,2019-06-29,34.666666666666664
136,2019-07-06,28.888888888888886
137,2019-07-13,30.814814814814813
138,2019-07-20,37.55555555555555
139,2019-07-27,33.7037037037037
140,2019-08-03,36.59259259259259
141,2019-08-10,42.37037037037037
142,2019-08-17,32.74074074074074
143,2019-08-24,33.7037037037037
144,2019-08-31,27.925925925925927
145,2019-09-07,39.48148148148148
146,2019-09-14,27.925925925925927
147,2019-09-21,31.77777777777778
148,2019-09-28,44.29629629629629
149,2019-10-05,42.37037037037037
150,2019-10-12,43.33333333333333
151,2019-10-19,84.74074074074073
152,2019-10-26,68.37037037037037
153,2019-11-02,76.07407407407408
154,2019-11-09,82.81481481481481
155,2019-11-16,96.29629629629629
156,2019-11-23,57.77777777777777
157,2019-11-30,65.48148148148148
158,2019-12-07,65.48148148148148
159,2019-12-14,49.11111111111111
160,2019-12-21,52.0
161,2019-12-28,92.44444444444444
162,2020-01-04,83.77777777777777
163,2020-01-11,75.1111111111111
164,2020-01-18,79.92592592592592
165,2020-01-25,74.0
166,2020-02-01,65.0
167,2020-02-08,65.0
168,2020-02-15,64.0
169,2020-02-22,65.0
170,2020-02-29,56.99999999999999
171,2020-03-07,40.0
172,2020-03-14,15.0
173,2020-03-21,12.0
