Search Term,vegan recipes
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,40
2008-12-06,41
2008-12-13,40
2008-12-20,47
2008-12-27,44
2009-01-03,44
2009-01-10,42
2009-01-17,40
2009-01-24,38
2009-01-31,35
2009-02-07,36
2009-02-14,35
2009-02-21,40
2009-02-28,40
2009-03-07,34
2009-03-14,34
2009-03-21,38
2009-03-28,42
2009-04-04,50
2009-04-11,39
2009-04-18,38
2009-04-25,34
2009-05-02,33
2009-05-09,36
2009-05-16,32
2009-05-23,38
2009-05-30,37
2009-06-06,40
2009-06-13,38
2009-06-20,36
2009-06-27,39
2009-07-04,34
2009-07-11,39
2009-07-18,41
2009-07-25,44
2009-08-01,47
2009-08-08,45
2009-08-15,41
2009-08-22,44
2009-08-29,40
2009-09-05,38
2009-09-12,37
2009-09-19,43
2009-09-26,39
2009-10-03,42
2009-10-10,42
2009-10-17,45
2009-10-24,44
2009-10-31,52
2009-11-07,51
2009-11-14,51
2009-11-21,64
2009-11-28,44
2009-12-05,45
2009-12-12,49
2009-12-19,58
2009-12-26,52
2010-01-02,58
2010-01-09,51
2010-01-16,47
2010-01-23,57
2010-01-30,55
2010-02-06,51
2010-02-13,49
2010-02-20,46
2010-02-27,49
2010-03-06,56
2010-03-13,55
2010-03-20,56
2010-03-27,57
2010-04-03,45
2010-04-10,43
2010-04-17,43
2010-04-24,46
2010-05-01,45
2010-05-08,44
2010-05-15,43
2010-05-22,42
2010-05-29,39
2010-06-05,45
2010-06-12,46
2010-06-19,37
2010-06-26,45
2010-07-03,41
2010-07-10,41
2010-07-17,42
2010-07-24,44
2010-07-31,44
2010-08-07,45
2010-08-14,43
2010-08-21,42
2010-08-28,44
2010-09-04,44
2010-09-11,44
2010-09-18,42
2010-09-25,43
2010-10-02,44
2010-10-09,49
2010-10-16,49
2010-10-23,42
2010-10-30,49
2010-11-06,47
2010-11-13,53
2010-11-20,59
2010-11-27,45
2010-12-04,50
2010-12-11,50
2010-12-18,57
2010-12-25,54
2011-01-01,60
2011-01-08,53
2011-01-15,54
2011-01-22,47
2011-01-29,72
2011-02-05,58
2011-02-12,50
2011-02-19,47
2011-02-26,49
2011-03-05,57
2011-03-12,50
2011-03-19,60
2011-03-26,52
2011-04-02,62
2011-04-09,55
2011-04-16,60
2011-04-23,48
2011-04-30,44
2011-05-07,44
2011-05-14,45
2011-05-21,47
2011-05-28,50
2011-06-04,45
2011-06-11,47
2011-06-18,45
2011-06-25,47
2011-07-02,47
2011-07-09,46
2011-07-16,46
2011-07-23,48
2011-07-30,49
2011-08-06,51
2011-08-13,59
2011-08-20,61
2011-08-27,58
2011-09-03,63
2011-09-10,60
2011-09-17,64
2011-09-24,66
2011-10-01,61
2011-10-08,58
2011-10-15,59
2011-10-22,64
2011-10-29,63
2011-11-05,63
2011-11-12,74
2011-11-19,83
2011-11-26,61
2011-12-03,59
2011-12-10,64
2011-12-17,74
2011-12-24,70
2011-12-31,83
2012-01-07,82
2012-01-14,75
2012-01-21,73
2012-01-28,73
2012-02-04,66
2012-02-11,64
2012-02-18,73
2012-02-25,72
2012-03-03,69
2012-03-10,68
2012-03-17,69
2012-03-24,65
2012-03-31,74
2012-04-07,64
2012-04-14,58
2012-04-21,64
2012-04-28,66
2012-05-05,65
2012-05-12,60
2012-05-19,58
2012-05-26,62
2012-06-02,67
2012-06-09,65
2012-06-16,64
2012-06-23,64
2012-06-30,65
2012-07-07,63
2012-07-14,64
2012-07-21,66
2012-07-28,65
2012-08-04,65
2012-08-11,67
2012-08-18,64
2012-08-25,65
2012-09-01,67
2012-09-08,62
2012-09-15,65
2012-09-22,67
2012-09-29,64
2012-10-06,65
2012-10-13,63
2012-10-20,58
2012-10-27,58
2012-11-03,62
2012-11-10,69
2012-11-17,78
2012-11-24,58
2012-12-01,61
2012-12-08,62
2012-12-15,71
2012-12-22,77
2012-12-29,100
