,Search Term,vegetarian near me
0,2012-11-24,0.0
1,2012-12-01,0.0
2,2012-12-08,0.0
3,2012-12-15,0.0
4,2012-12-22,0.0
5,2012-12-29,0.0
6,2013-01-05,0.0
7,2013-01-12,1.098989898989899
8,2013-01-19,0.0
9,2013-01-26,0.0
10,2013-02-02,0.0
11,2013-02-09,0.0
12,2013-02-16,0.0
13,2013-02-23,0.8242424242424243
14,2013-03-02,0.0
15,2013-03-09,0.0
16,2013-03-16,0.8242424242424243
17,2013-03-23,0.0
18,2013-03-30,0.0
19,2013-04-06,0.8242424242424243
20,2013-04-13,0.0
21,2013-04-20,0.0
22,2013-04-27,1.098989898989899
23,2013-05-04,0.0
24,2013-05-11,0.8242424242424243
25,2013-05-18,0.0
26,2013-05-25,0.0
27,2013-06-01,1.6484848484848487
28,2013-06-08,1.098989898989899
29,2013-06-15,1.098989898989899
30,2013-06-22,1.6484848484848487
31,2013-06-29,1.373737373737374
32,2013-07-06,1.9232323232323232
33,2013-07-13,1.373737373737374
34,2013-07-20,1.098989898989899
35,2013-07-27,1.373737373737374
36,2013-08-03,1.6484848484848487
37,2013-08-10,1.098989898989899
38,2013-08-17,1.373737373737374
39,2013-08-24,1.6484848484848487
40,2013-08-31,1.098989898989899
41,2013-09-07,0.8242424242424243
42,2013-09-14,1.6484848484848487
43,2013-09-21,1.6484848484848487
44,2013-09-28,1.373737373737374
45,2013-10-05,2.197979797979798
46,2013-10-12,1.6484848484848487
47,2013-10-19,1.9232323232323232
48,2013-10-26,1.373737373737374
49,2013-11-02,1.9232323232323232
50,2013-11-09,1.373737373737374
51,2013-11-16,1.373737373737374
52,2013-11-23,1.6484848484848487
53,2013-11-30,1.098989898989899
54,2013-12-07,1.373737373737374
55,2013-12-14,1.373737373737374
56,2013-12-21,2.197979797979798
57,2013-12-28,2.472727272727273
58,2014-01-04,1.6484848484848487
59,2014-01-11,1.9232323232323232
60,2014-01-18,1.6484848484848487
61,2014-01-25,1.9232323232323232
62,2014-02-01,1.098989898989899
63,2014-02-08,2.747474747474748
64,2014-02-15,2.472727272727273
65,2014-02-22,1.6484848484848487
66,2014-03-01,2.472727272727273
67,2014-03-08,2.747474747474748
68,2014-03-15,1.9232323232323232
69,2014-03-22,1.6484848484848487
70,2014-03-29,2.747474747474748
71,2014-04-05,3.5717171717171716
72,2014-04-12,2.747474747474748
73,2014-04-19,1.9232323232323232
74,2014-04-26,2.197979797979798
75,2014-05-03,2.472727272727273
76,2014-05-10,1.9232323232323232
77,2014-05-17,2.747474747474748
78,2014-05-24,2.747474747474748
79,2014-05-31,2.747474747474748
80,2014-06-07,3.0222222222222226
81,2014-06-14,3.0222222222222226
82,2014-06-21,3.2969696969696973
83,2014-06-28,3.8464646464646464
84,2014-07-05,4.121212121212122
85,2014-07-12,3.0222222222222226
86,2014-07-19,4.121212121212122
87,2014-07-26,4.121212121212122
88,2014-08-02,4.395959595959596
89,2014-08-09,3.2969696969696973
90,2014-08-16,3.8464646464646464
91,2014-08-23,4.945454545454546
92,2014-08-30,3.2969696969696973
93,2014-09-06,3.0222222222222226
94,2014-09-13,3.5717171717171716
95,2014-09-20,2.472727272727273
96,2014-09-27,3.2969696969696973
97,2014-10-04,3.8464646464646464
98,2014-10-11,3.2969696969696973
99,2014-10-18,4.395959595959596
100,2014-10-25,3.2969696969696973
101,2014-11-01,3.8464646464646464
102,2014-11-08,4.121212121212122
103,2014-11-15,1.9232323232323232
104,2014-11-22,2.472727272727273
105,2014-11-29,2.197979797979798
106,2014-12-06,2.747474747474748
107,2014-12-13,2.747474747474748
108,2014-12-20,3.2969696969696973
109,2014-12-27,4.121212121212122
110,2015-01-03,3.5717171717171716
111,2015-01-10,3.5717171717171716
112,2015-01-17,3.2969696969696973
113,2015-01-24,3.2969696969696973
114,2015-01-31,3.0222222222222226
115,2015-02-07,3.5717171717171716
116,2015-02-14,5.220202020202021
117,2015-02-21,4.6707070707070715
118,2015-02-28,5.494949494949496
119,2015-03-07,4.945454545454546
120,2015-03-14,5.7696969696969695
121,2015-03-21,6.31919191919192
122,2015-03-28,5.494949494949496
123,2015-04-04,4.945454545454546
124,2015-04-11,4.6707070707070715
125,2015-04-18,3.0222222222222226
126,2015-04-25,4.395959595959596
127,2015-05-02,3.8464646464646464
128,2015-05-09,4.6707070707070715
129,2015-05-16,5.220202020202021
130,2015-05-23,5.494949494949496
131,2015-05-30,5.7696969696969695
132,2015-06-06,5.494949494949496
133,2015-06-13,5.494949494949496
134,2015-06-20,6.8686868686868685
135,2015-06-27,6.8686868686868685
136,2015-07-04,7.692929292929293
137,2015-07-11,8.517171717171719
138,2015-07-18,8.517171717171719
139,2015-07-25,10.440404040404042
140,2015-08-01,10.440404040404042
141,2015-08-08,8.242424242424244
142,2015-08-15,10.440404040404042
143,2015-08-22,9.341414141414143
144,2015-08-29,7.692929292929293
145,2015-09-05,8.242424242424244
146,2015-09-12,8.242424242424244
147,2015-09-19,7.41818181818182
148,2015-09-26,7.692929292929293
149,2015-10-03,7.41818181818182
150,2015-10-10,10.165656565656567
151,2015-10-17,7.41818181818182
152,2015-10-24,7.692929292929293
153,2015-10-31,8.517171717171719
154,2015-11-07,10.715151515151517
155,2015-11-14,7.692929292929293
156,2015-11-21,9.341414141414143
157,2015-11-28,7.692929292929293
158,2015-12-05,7.9676767676767675
159,2015-12-12,9.890909090909092
160,2015-12-19,12.363636363636363
161,2015-12-26,14.83636363636364
162,2016-01-02,10.989898989898991
163,2016-01-09,11.539393939393939
164,2016-01-16,9.890909090909092
