,Search Term,vegan restaurant near me
190,2016-07-16,16.138952164009112
191,2016-07-23,15.642369020501137
192,2016-07-30,17.87699316628702
193,2016-08-06,17.62870159453303
194,2016-08-13,16.883826879271073
195,2016-08-20,18.373576309794988
196,2016-08-27,18.621867881548976
197,2016-09-03,14.152619589977222
198,2016-09-10,12.911161731207288
199,2016-09-17,13.65603644646925
200,2016-09-24,15.145785876993168
201,2016-10-01,15.642369020501137
202,2016-10-08,15.642369020501137
203,2016-10-15,18.125284738041003
204,2016-10-22,16.635535307517085
205,2016-10-29,15.145785876993168
206,2016-11-05,18.373576309794988
207,2016-11-12,18.373576309794988
208,2016-11-19,13.65603644646925
209,2016-11-26,15.0
210,2016-12-03,15.0
211,2016-12-10,16.0
212,2016-12-17,16.0
213,2016-12-24,22.0
214,2016-12-31,25.0
215,2017-01-07,17.0
216,2017-01-14,19.0
217,2017-01-21,13.999999999999998
218,2017-01-28,20.000000000000004
219,2017-02-04,22.0
220,2017-02-11,21.000000000000004
221,2017-02-18,22.0
222,2017-02-25,17.0
223,2017-03-04,21.000000000000004
224,2017-03-11,25.0
225,2017-03-18,22.0
226,2017-03-25,23.000000000000004
227,2017-04-01,25.0
228,2017-04-08,24.000000000000004
229,2017-04-15,24.000000000000004
230,2017-04-22,18.000000000000004
231,2017-04-29,23.000000000000004
232,2017-05-06,20.000000000000004
233,2017-05-13,25.0
234,2017-05-20,24.000000000000004
235,2017-05-27,27.0
236,2017-06-03,26.0
237,2017-06-10,31.0
238,2017-06-17,27.999999999999996
239,2017-06-24,36.00000000000001
240,2017-07-01,48.00000000000001
241,2017-07-08,42.00000000000001
242,2017-07-15,49.00000000000001
243,2017-07-22,46.00000000000001
244,2017-07-29,48.00000000000001
245,2017-08-05,52.0
246,2017-08-12,51.0
247,2017-08-19,53.0
248,2017-08-26,46.00000000000001
249,2017-09-02,42.00000000000001
250,2017-09-09,43.00000000000001
251,2017-09-16,44.0
252,2017-09-23,41.0
253,2017-09-30,40.00000000000001
254,2017-10-07,39.0
255,2017-10-14,38.0
256,2017-10-21,37.0
257,2017-10-28,36.00000000000001
258,2017-11-04,44.0
259,2017-11-11,40.00000000000001
260,2017-11-18,45.0
261,2017-11-25,39.0
262,2017-12-02,33.0
263,2017-12-09,38.0
264,2017-12-16,49.00000000000001
265,2017-12-23,46.00000000000001
266,2017-12-30,51.0
267,2018-01-06,54.0
268,2018-01-13,51.0
269,2018-01-20,52.0
270,2018-01-27,54.0
271,2018-02-03,54.0
272,2018-02-10,59.00000000000001
273,2018-02-17,55.00000000000001
274,2018-02-24,51.0
275,2018-03-03,57.00000000000001
276,2018-03-10,55.00000000000001
277,2018-03-17,55.00000000000001
278,2018-03-24,55.00000000000001
279,2018-03-31,57.00000000000001
280,2018-04-07,58.00000000000001
281,2018-04-14,50.0
282,2018-04-21,53.0
283,2018-04-28,55.99999999999999
284,2018-05-05,54.0
285,2018-05-12,55.00000000000001
286,2018-05-19,51.0
287,2018-05-26,52.0
288,2018-06-02,59.00000000000001
289,2018-06-09,61.0
290,2018-06-16,62.0
291,2018-06-23,62.0
292,2018-06-30,70.0
293,2018-07-07,59.00000000000001
294,2018-07-14,62.0
295,2018-07-21,58.00000000000001
296,2018-07-28,64.0
297,2018-08-04,62.0
298,2018-08-11,64.0
299,2018-08-18,64.0
300,2018-08-25,62.0
301,2018-09-01,63.0
302,2018-09-08,55.00000000000001
303,2018-09-15,53.0
304,2018-09-22,59.00000000000001
305,2018-09-29,57.00000000000001
306,2018-10-06,55.99999999999999
307,2018-10-13,61.0
308,2018-10-20,59.00000000000001
309,2018-10-27,53.0
310,2018-11-03,60.0
311,2018-11-10,54.0
312,2018-11-17,50.0
313,2018-11-24,47.0
314,2018-12-01,54.0
315,2018-12-08,52.0
316,2018-12-15,57.00000000000001
317,2018-12-22,73.00000000000001
318,2018-12-29,83.0
319,2019-01-05,71.00000000000001
320,2019-01-12,65.0
321,2019-01-19,68.0
322,2019-01-26,60.0
323,2019-02-02,63.0
324,2019-02-09,62.0
325,2019-02-16,71.00000000000001
326,2019-02-23,64.0
327,2019-03-02,74.0
328,2019-03-09,68.0
329,2019-03-16,78.0
330,2019-03-23,77.0
331,2019-03-30,80.00000000000001
332,2019-04-06,79.0
333,2019-04-13,80.00000000000001
334,2019-04-20,74.0
335,2019-04-27,74.0
336,2019-05-04,71.00000000000001
337,2019-05-11,69.0
338,2019-05-18,72.00000000000001
339,2019-05-25,72.00000000000001
340,2019-06-01,66.0
341,2019-06-08,69.0
342,2019-06-15,82.0
343,2019-06-22,83.0
344,2019-06-29,92.00000000000001
345,2019-07-06,78.0
346,2019-07-13,88.0
347,2019-07-20,86.00000000000001
348,2019-07-27,84.00000000000001
349,2019-08-03,83.0
350,2019-08-10,90.0
351,2019-08-17,86.00000000000001
352,2019-08-24,75.0
353,2019-08-31,78.0
354,2019-09-07,73.00000000000001
355,2019-09-14,72.00000000000001
356,2019-09-21,74.0
357,2019-09-28,77.0
358,2019-10-05,69.0
359,2019-10-12,70.0
360,2019-10-19,88.0
361,2019-10-26,83.0
362,2019-11-02,84.00000000000001
363,2019-11-09,84.00000000000001
364,2019-11-16,87.0
365,2019-11-23,81.0
366,2019-11-30,69.0
367,2019-12-07,72.00000000000001
368,2019-12-14,75.0
369,2019-12-21,96.00000000000001
370,2019-12-28,100.0
371,2020-01-04,96.00000000000001
372,2020-01-11,90.0
373,2020-01-18,87.0
374,2020-01-25,87.96103896103897
375,2020-02-01,83.12801484230056
376,2020-02-08,96.66048237476808
377,2020-02-15,89.89424860853433
378,2020-02-22,79.26159554730982
379,2020-02-29,84.09461966604823
380,2020-03-07,70.5621521335807
381,2020-03-14,30.931354359925788
382,2020-03-21,18.365491651205936
383,2020-03-28,12.565862708719852
384,2020-04-04,18.365491651205936
385,2020-04-11,18.365491651205936
386,2020-04-18,22.23191094619666
387,2020-04-25,23.198515769944343
388,2020-05-02,30.931354359925788
389,2020-05-09,38.66419294990723
390,2020-05-16,45.43042671614101
391,2020-05-23,45.43042671614101
392,2020-05-30,49.29684601113172
393,2020-06-06,55.096474953617815
394,2020-06-13,57.029684601113175
395,2020-06-20,61.862708719851575
396,2020-06-27,66.69573283858998
397,2020-07-04,68.62894248608534
398,2020-07-11,65.7291280148423
399,2020-07-18,74.42857142857143
400,2020-07-25,76.36178107606679
401,2020-08-01,72.49536178107606
402,2020-08-08,74.42857142857143
403,2020-08-15,72.49536178107606
404,2020-08-22,66.69573283858998
405,2020-08-29,72.49536178107606
406,2020-09-05,67.66233766233766
407,2020-09-12,63.795918367346935
408,2020-09-19,65.7291280148423
409,2020-09-26,63.795918367346935
410,2020-10-03,69.59554730983302
411,2020-10-10,57.99628942486085
412,2020-10-17,56.06307977736549
413,2020-10-24,59.929499072356215
414,2020-10-31,46.39703153988869
415,2020-11-07,49.29684601113172
416,2020-11-14,48.33024118738404
417,2020-11-21,41.56400742115028
418,2020-11-28,43.49721706864564
419,2020-12-05,48.33024118738404
420,2020-12-12,47.36363636363636
421,2020-12-19,55.096474953617815
422,2020-12-26,69.59554730983302
423,2021-01-02,57.99628942486085
424,2021-01-09,58.962894248608535
425,2021-01-16,53.163265306122454
426,2021-01-23,51.23005565862708
427,2021-01-30,51.23005565862708
428,2021-02-06,57.99628942486085
429,2021-02-13,65.7291280148423
430,2021-02-20,58.962894248608535
431,2021-02-27,56.06307977736549
432,2021-03-06,64.76252319109463
433,2021-03-13,73.46196660482374
