Search Term,vegetarian recipes
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,70
2012-12-01,68
2012-12-08,71
2012-12-15,84
2012-12-22,80
2012-12-29,95
2013-01-05,90
2013-01-12,77
2013-01-19,78
2013-01-26,77
2013-02-02,76
2013-02-09,80
2013-02-16,80
2013-02-23,71
2013-03-02,78
2013-03-09,73
2013-03-16,79
2013-03-23,79
2013-03-30,69
2013-04-06,73
2013-04-13,72
2013-04-20,72
2013-04-27,74
2013-05-04,67
2013-05-11,67
2013-05-18,68
2013-05-25,64
2013-06-01,68
2013-06-08,63
2013-06-15,65
2013-06-22,64
2013-06-29,68
2013-07-06,67
2013-07-13,67
2013-07-20,66
2013-07-27,74
2013-08-03,72
2013-08-10,84
2013-08-17,68
2013-08-24,70
2013-08-31,65
2013-09-07,64
2013-09-14,72
2013-09-21,73
2013-09-28,73
2013-10-05,72
2013-10-12,70
2013-10-19,69
2013-10-26,67
2013-11-02,65
2013-11-09,78
2013-11-16,74
2013-11-23,69
2013-11-30,69
2013-12-07,68
2013-12-14,72
2013-12-21,77
2013-12-28,100
2014-01-04,94
2014-01-11,83
2014-01-18,78
2014-01-25,80
2014-02-01,71
2014-02-08,78
2014-02-15,67
2014-02-22,70
2014-03-01,78
2014-03-08,69
2014-03-15,68
2014-03-22,70
2014-03-29,69
2014-04-05,65
2014-04-12,71
2014-04-19,68
2014-04-26,65
2014-05-03,68
2014-05-10,59
2014-05-17,61
2014-05-24,59
2014-05-31,64
2014-06-07,64
2014-06-14,65
2014-06-21,61
2014-06-28,65
2014-07-05,65
2014-07-12,62
2014-07-19,71
2014-07-26,76
2014-08-02,69
2014-08-09,65
2014-08-16,67
2014-08-23,68
2014-08-30,67
2014-09-06,64
2014-09-13,73
2014-09-20,68
2014-09-27,69
2014-10-04,66
2014-10-11,70
2014-10-18,64
2014-10-25,64
2014-11-01,66
2014-11-08,70
2014-11-15,71
2014-11-22,66
2014-11-29,63
2014-12-06,61
2014-12-13,65
2014-12-20,73
2014-12-27,83
2015-01-03,84
2015-01-10,76
2015-01-17,70
2015-01-24,75
2015-01-31,64
2015-02-07,65
2015-02-14,72
2015-02-21,67
2015-02-28,65
2015-03-07,62
2015-03-14,57
2015-03-21,63
2015-03-28,62
2015-04-04,60
2015-04-11,58
2015-04-18,56
2015-04-25,55
2015-05-02,53
2015-05-09,55
2015-05-16,53
2015-05-23,54
2015-05-30,58
2015-06-06,58
2015-06-13,57
2015-06-20,55
2015-06-27,57
2015-07-04,60
2015-07-11,58
2015-07-18,58
2015-07-25,54
2015-08-01,53
2015-08-08,56
2015-08-15,54
2015-08-22,56
2015-08-29,55
2015-09-05,55
2015-09-12,55
2015-09-19,57
2015-09-26,55
2015-10-03,59
2015-10-10,60
2015-10-17,56
2015-10-24,61
2015-10-31,69
2015-11-07,65
2015-11-14,65
2015-11-21,60
2015-11-28,56
2015-12-05,55
2015-12-12,58
2015-12-19,62
2015-12-26,78
2016-01-02,75
2016-01-09,66
2016-01-16,60
2016-01-23,56
2016-01-30,58
2016-02-06,56
2016-02-13,54
2016-02-20,62
2016-02-27,51
2016-03-05,52
2016-03-12,54
2016-03-19,62
2016-03-26,52
2016-04-02,57
2016-04-09,61
2016-04-16,59
2016-04-23,61
2016-04-30,56
2016-05-07,52
2016-05-14,54
2016-05-21,54
2016-05-28,53
2016-06-04,53
2016-06-11,53
2016-06-18,47
2016-06-25,51
2016-07-02,48
2016-07-09,52
2016-07-16,52
2016-07-23,51
2016-07-30,51
2016-08-06,52
2016-08-13,51
2016-08-20,47
2016-08-27,51
2016-09-03,48
2016-09-10,49
2016-09-17,50
2016-09-24,50
2016-10-01,54
2016-10-08,54
2016-10-15,53
2016-10-22,52
2016-10-29,54
2016-11-05,48
2016-11-12,56
2016-11-19,46
2016-11-26,53
2016-12-03,49
2016-12-10,52
2016-12-17,59
2016-12-24,57
2016-12-31,77
