Search Term,vegan restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,46
2008-12-06,54
2008-12-13,41
2008-12-20,43
2008-12-27,59
2009-01-03,44
2009-01-10,49
2009-01-17,48
2009-01-24,38
2009-01-31,49
2009-02-07,57
2009-02-14,45
2009-02-21,39
2009-02-28,39
2009-03-07,53
2009-03-14,41
2009-03-21,46
2009-03-28,50
2009-04-04,55
2009-04-11,51
2009-04-18,49
2009-04-25,47
2009-05-02,41
2009-05-09,47
2009-05-16,49
2009-05-23,50
2009-05-30,50
2009-06-06,53
2009-06-13,53
2009-06-20,49
2009-06-27,51
2009-07-04,49
2009-07-11,58
2009-07-18,60
2009-07-25,56
2009-08-01,63
2009-08-08,64
2009-08-15,60
2009-08-22,55
2009-08-29,45
2009-09-05,51
2009-09-12,44
2009-09-19,42
2009-09-26,38
2009-10-03,42
2009-10-10,53
2009-10-17,54
2009-10-24,60
2009-10-31,45
2009-11-07,45
2009-11-14,53
2009-11-21,46
2009-11-28,51
2009-12-05,40
2009-12-12,46
2009-12-19,41
2009-12-26,59
2010-01-02,60
2010-01-09,42
2010-01-16,47
2010-01-23,53
2010-01-30,53
2010-02-06,63
2010-02-13,52
2010-02-20,53
2010-02-27,49
2010-03-06,56
2010-03-13,54
2010-03-20,61
2010-03-27,69
2010-04-03,55
2010-04-10,52
2010-04-17,55
2010-04-24,47
2010-05-01,54
2010-05-08,45
2010-05-15,58
2010-05-22,50
2010-05-29,57
2010-06-05,40
2010-06-12,64
2010-06-19,60
2010-06-26,61
2010-07-03,53
2010-07-10,65
2010-07-17,61
2010-07-24,60
2010-07-31,72
2010-08-07,69
2010-08-14,62
2010-08-21,59
2010-08-28,60
2010-09-04,68
2010-09-11,55
2010-09-18,57
2010-09-25,60
2010-10-02,53
2010-10-09,59
2010-10-16,54
2010-10-23,47
2010-10-30,67
2010-11-06,59
2010-11-13,56
2010-11-20,53
2010-11-27,49
2010-12-04,45
2010-12-11,52
2010-12-18,64
2010-12-25,65
2011-01-01,62
2011-01-08,60
2011-01-15,60
2011-01-22,62
2011-01-29,61
2011-02-05,74
2011-02-12,69
2011-02-19,66
2011-02-26,67
2011-03-05,71
2011-03-12,73
2011-03-19,77
2011-03-26,76
2011-04-02,75
2011-04-09,70
2011-04-16,77
2011-04-23,73
2011-04-30,72
2011-05-07,74
2011-05-14,65
2011-05-21,64
2011-05-28,75
2011-06-04,72
2011-06-11,72
2011-06-18,75
2011-06-25,69
2011-07-02,73
2011-07-09,71
2011-07-16,73
2011-07-23,70
2011-07-30,73
2011-08-06,75
2011-08-13,72
2011-08-20,79
2011-08-27,66
2011-09-03,73
2011-09-10,69
2011-09-17,67
2011-09-24,64
2011-10-01,75
2011-10-08,71
2011-10-15,73
2011-10-22,74
2011-10-29,67
2011-11-05,76
2011-11-12,62
2011-11-19,65
2011-11-26,69
2011-12-03,67
2011-12-10,63
2011-12-17,60
2011-12-24,76
2011-12-31,77
2012-01-07,74
2012-01-14,68
2012-01-21,77
2012-01-28,69
2012-02-04,74
2012-02-11,76
2012-02-18,81
2012-02-25,80
2012-03-03,75
2012-03-10,70
2012-03-17,71
2012-03-24,78
2012-03-31,81
2012-04-07,73
2012-04-14,71
2012-04-21,78
2012-04-28,77
2012-05-05,78
2012-05-12,71
2012-05-19,81
2012-05-26,90
2012-06-02,75
2012-06-09,83
2012-06-16,82
2012-06-23,82
2012-06-30,85
2012-07-07,88
2012-07-14,88
2012-07-21,89
2012-07-28,85
2012-08-04,89
2012-08-11,92
2012-08-18,86
2012-08-25,82
2012-09-01,83
2012-09-08,81
2012-09-15,75
2012-09-22,78
2012-09-29,83
2012-10-06,78
2012-10-13,72
2012-10-20,61
2012-10-27,64
2012-11-03,77
2012-11-10,75
2012-11-17,71
2012-11-24,69
2012-12-01,69
2012-12-08,63
2012-12-15,76
2012-12-22,91
2012-12-29,100
