Search Term,vegetarian restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,60
2016-12-03,60
2016-12-10,63
2016-12-17,65
2016-12-24,80
2016-12-31,73
2017-01-07,70
2017-01-14,64
2017-01-21,75
2017-01-28,70
2017-02-04,67
2017-02-11,70
2017-02-18,68
2017-02-25,68
2017-03-04,67
2017-03-11,68
2017-03-18,66
2017-03-25,71
2017-04-01,70
2017-04-08,76
2017-04-15,71
2017-04-22,71
2017-04-29,72
2017-05-06,78
2017-05-13,73
2017-05-20,72
2017-05-27,78
2017-06-03,74
2017-06-10,74
2017-06-17,80
2017-06-24,84
2017-07-01,84
2017-07-08,83
2017-07-15,87
2017-07-22,87
2017-07-29,82
2017-08-05,88
2017-08-12,90
2017-08-19,81
2017-08-26,83
2017-09-02,80
2017-09-09,72
2017-09-16,82
2017-09-23,83
2017-09-30,76
2017-10-07,79
2017-10-14,79
2017-10-21,79
2017-10-28,74
2017-11-04,78
2017-11-11,73
2017-11-18,73
2017-11-25,72
2017-12-02,75
2017-12-09,72
2017-12-16,82
2017-12-23,95
2017-12-30,91
2018-01-06,73
2018-01-13,84
2018-01-20,77
2018-01-27,77
2018-02-03,75
2018-02-10,93
2018-02-17,77
2018-02-24,72
2018-03-03,75
2018-03-10,73
2018-03-17,75
2018-03-24,88
2018-03-31,79
2018-04-07,72
2018-04-14,75
2018-04-21,77
2018-04-28,76
2018-05-05,80
2018-05-12,74
2018-05-19,78
2018-05-26,89
2018-06-02,81
2018-06-09,83
2018-06-16,82
2018-06-23,76
2018-06-30,78
2018-07-07,84
2018-07-14,83
2018-07-21,85
2018-07-28,84
2018-08-04,87
2018-08-11,87
2018-08-18,85
2018-08-25,75
2018-09-01,77
2018-09-08,75
2018-09-15,76
2018-09-22,75
2018-09-29,73
2018-10-06,81
2018-10-13,87
2018-10-20,77
2018-10-27,75
2018-11-03,76
2018-11-10,73
2018-11-17,71
2018-11-24,70
2018-12-01,71
2018-12-08,75
2018-12-15,78
2018-12-22,97
2018-12-29,91
2019-01-05,82
2019-01-12,75
2019-01-19,76
2019-01-26,72
2019-02-02,86
2019-02-09,82
2019-02-16,77
2019-02-23,68
2019-03-02,77
2019-03-09,74
2019-03-16,80
2019-03-23,85
2019-03-30,79
2019-04-06,76
2019-04-13,84
2019-04-20,78
2019-04-27,75
2019-05-04,84
2019-05-11,85
2019-05-18,86
2019-05-25,82
2019-06-01,87
2019-06-08,82
2019-06-15,84
2019-06-22,83
2019-06-29,87
2019-07-06,86
2019-07-13,88
2019-07-20,84
2019-07-27,90
2019-08-03,92
2019-08-10,90
2019-08-17,83
2019-08-24,85
2019-08-31,82
2019-09-07,79
2019-09-14,78
2019-09-21,78
2019-09-28,92
2019-10-05,81
2019-10-12,82
2019-10-19,78
2019-10-26,81
2019-11-02,76
2019-11-09,78
2019-11-16,78
2019-11-23,77
2019-11-30,70
2019-12-07,70
2019-12-14,77
2019-12-21,93
2019-12-28,100
2020-01-04,78
2020-01-11,78
2020-01-18,78
2020-01-25,80
2020-02-01,73
2020-02-08,80
2020-02-15,77
2020-02-22,71
2020-02-29,68
