,Search Term,vegetarian restaurant
0,2003-12-27,90.39631026146056
1,2004-01-03,86.70666494466624
2,2004-01-10,82.09460829867335
3,2004-01-17,78.40496298187905
4,2004-01-24,82.09460829867335
5,2004-01-31,75.63772899428332
6,2004-02-07,90.39631026146056
7,2004-02-14,80.2497856402762
8,2004-02-21,86.70666494466624
9,2004-02-28,62.72397038550325
10,2004-03-06,0.0
11,2004-03-13,42.43092114313455
12,2004-03-20,59.03432506870894
13,2004-03-27,53.49985709351748
14,2004-04-03,62.72397038550325
15,2004-04-10,64.56879304390041
16,2004-04-17,57.18950241031179
17,2004-04-24,65.49120437309898
18,2004-05-01,72.87049500668759
19,2004-05-08,54.422268422716044
20,2004-05-15,69.1808496898933
21,2004-05-22,59.03432506870894
22,2004-05-29,39.66368715553881
23,2004-06-05,42.43092114313455
24,2004-06-12,74.71531766508474
25,2004-06-19,67.33602703149613
26,2004-06-26,76.5601403234819
27,2004-07-03,70.10326101909186
28,2004-07-10,61.80155905630467
29,2004-07-17,71.94808367748901
30,2004-07-24,92.2411329198577
31,2004-07-31,70.10326101909186
32,2004-08-07,87.62907627386483
33,2004-08-14,73.79290633588617
34,2004-08-21,67.33602703149613
35,2004-08-28,72.87049500668759
36,2004-09-04,55.344679751914626
37,2004-09-11,76.5601403234819
38,2004-09-18,59.03432506870894
39,2004-09-25,62.72397038550325
40,2004-10-02,81.17219696947478
41,2004-10-09,67.33602703149613
42,2004-10-16,58.111913739510356
43,2004-10-23,59.03432506870894
44,2004-10-30,61.80155905630467
45,2004-11-06,71.94808367748901
46,2004-11-13,69.1808496898933
47,2004-11-20,59.03432506870894
48,2004-11-27,50.73262310592174
49,2004-12-04,73.79290633588617
50,2004-12-11,53.49985709351748
51,2004-12-18,70.10326101909186
52,2004-12-25,64.56879304390041
53,2005-01-01,82.09460829867335
54,2005-01-08,74.71531766508474
55,2005-01-15,54.422268422716044
56,2005-01-22,49.810211776723165
57,2005-01-29,56.26709108111319
58,2005-02-05,74.71531766508474
59,2005-02-12,74.71531766508474
60,2005-02-19,53.49985709351748
61,2005-02-26,70.10326101909186
62,2005-03-05,75.63772899428332
63,2005-03-12,59.03432506870894
64,2005-03-19,60.87914772710609
65,2005-03-26,67.33602703149613
66,2005-04-02,63.64638171470182
67,2005-04-09,70.10326101909186
68,2005-04-16,57.18950241031179
69,2005-04-23,46.12056645992885
70,2005-04-30,65.49120437309898
71,2005-05-07,75.63772899428332
72,2005-05-14,59.956736397907505
73,2005-05-21,69.1808496898933
74,2005-05-28,62.72397038550325
75,2005-06-04,62.72397038550325
76,2005-06-11,84.8618422862691
77,2005-06-18,71.02567234829044
78,2005-06-25,72.87049500668759
79,2005-07-02,74.71531766508474
80,2005-07-09,84.8618422862691
81,2005-07-16,65.49120437309898
82,2005-07-23,84.8618422862691
83,2005-07-30,72.87049500668759
84,2005-08-06,71.02567234829044
85,2005-08-13,75.63772899428332
86,2005-08-20,72.87049500668759
87,2005-08-27,68.25843836069471
88,2005-09-03,57.18950241031179
89,2005-09-10,54.422268422716044
90,2005-09-17,75.63772899428332
91,2005-09-24,55.344679751914626
92,2005-10-01,59.03432506870894
93,2005-10-08,59.956736397907505
94,2005-10-15,69.1808496898933
95,2005-10-22,58.111913739510356
96,2005-10-29,62.72397038550325
97,2005-11-05,52.577445764318895
98,2005-11-12,75.63772899428332
99,2005-11-19,61.80155905630467
100,2005-11-26,62.72397038550325
101,2005-12-03,59.956736397907505
102,2005-12-10,42.43092114313455
103,2005-12-17,53.49985709351748
104,2005-12-24,55.344679751914626
105,2005-12-31,60.87914772710609
106,2006-01-07,72.87049500668759
107,2006-01-14,65.49120437309898
108,2006-01-21,59.956736397907505
109,2006-01-28,70.10326101909186
110,2006-02-04,62.72397038550325
111,2006-02-11,67.33602703149613
112,2006-02-18,61.80155905630467
113,2006-02-25,71.02567234829044
114,2006-03-04,65.49120437309898
115,2006-03-11,71.02567234829044
116,2006-03-18,71.94808367748901
117,2006-03-25,57.18950241031179
118,2006-04-01,48.88780044752459
119,2006-04-08,53.49985709351748
120,2006-04-15,59.03432506870894
121,2006-04-22,57.18950241031179
122,2006-04-29,65.49120437309898
123,2006-05-06,71.94808367748901
124,2006-05-13,62.72397038550325
125,2006-05-20,71.02567234829044
126,2006-05-27,52.577445764318895
127,2006-06-03,59.03432506870894
128,2006-06-10,66.41361570229756
129,2006-06-17,74.71531766508474
130,2006-06-24,54.422268422716044
131,2006-07-01,66.41361570229756
132,2006-07-08,72.87049500668759
133,2006-07-15,67.33602703149613
134,2006-07-22,71.94808367748901
135,2006-07-29,58.111913739510356
136,2006-08-05,59.03432506870894
137,2006-08-12,71.94808367748901
138,2006-08-19,66.41361570229756
139,2006-08-26,61.80155905630467
140,2006-09-02,53.49985709351748
141,2006-09-09,58.111913739510356
142,2006-09-16,51.655034435120314
143,2006-09-23,64.56879304390041
144,2006-09-30,54.422268422716044
145,2006-10-07,65.49120437309898
146,2006-10-14,64.56879304390041
147,2006-10-21,52.577445764318895
148,2006-10-28,54.422268422716044
149,2006-11-04,52.577445764318895
150,2006-11-11,56.26709108111319
151,2006-11-18,59.03432506870894
152,2006-11-25,49.810211776723165
153,2006-12-02,50.73262310592174
154,2006-12-09,51.655034435120314
155,2006-12-16,58.111913739510356
156,2006-12-23,59.956736397907505
157,2006-12-30,53.49985709351748
158,2007-01-06,54.422268422716044
159,2007-01-13,54.422268422716044
160,2007-01-20,53.49985709351748
161,2007-01-27,52.577445764318895
162,2007-02-03,60.87914772710609
163,2007-02-10,72.87049500668759
