Search Term,vegan restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,25
2008-12-06,34
2008-12-13,32
2008-12-20,44
2008-12-27,50
2009-01-03,36
2009-01-10,37
2009-01-17,47
2009-01-24,36
2009-01-31,40
2009-02-07,41
2009-02-14,33
2009-02-21,44
2009-02-28,33
2009-03-07,34
2009-03-14,36
2009-03-21,39
2009-03-28,33
2009-04-04,42
2009-04-11,41
2009-04-18,42
2009-04-25,38
2009-05-02,38
2009-05-09,37
2009-05-16,37
2009-05-23,44
2009-05-30,45
2009-06-06,38
2009-06-13,42
2009-06-20,46
2009-06-27,51
2009-07-04,44
2009-07-11,48
2009-07-18,46
2009-07-25,64
2009-08-01,48
2009-08-08,62
2009-08-15,45
2009-08-22,47
2009-08-29,45
2009-09-05,43
2009-09-12,41
2009-09-19,42
2009-09-26,35
2009-10-03,42
2009-10-10,40
2009-10-17,43
2009-10-24,46
2009-10-31,41
2009-11-07,48
2009-11-14,43
2009-11-21,35
2009-11-28,37
2009-12-05,38
2009-12-12,41
2009-12-19,38
2009-12-26,56
2010-01-02,55
2010-01-09,55
2010-01-16,50
2010-01-23,55
2010-01-30,52
2010-02-06,62
2010-02-13,53
2010-02-20,52
2010-02-27,60
2010-03-06,54
2010-03-13,57
2010-03-20,66
2010-03-27,60
2010-04-03,57
2010-04-10,51
2010-04-17,58
2010-04-24,58
2010-05-01,56
2010-05-08,58
2010-05-15,56
2010-05-22,51
2010-05-29,59
2010-06-05,54
2010-06-12,66
2010-06-19,52
2010-06-26,64
2010-07-03,63
2010-07-10,74
2010-07-17,68
2010-07-24,69
2010-07-31,66
2010-08-07,70
2010-08-14,61
2010-08-21,69
2010-08-28,60
2010-09-04,63
2010-09-11,60
2010-09-18,57
2010-09-25,57
2010-10-02,65
2010-10-09,56
2010-10-16,58
2010-10-23,52
2010-10-30,59
2010-11-06,56
2010-11-13,56
2010-11-20,46
2010-11-27,50
2010-12-04,52
2010-12-11,46
2010-12-18,47
2010-12-25,58
2011-01-01,73
2011-01-08,65
2011-01-15,64
2011-01-22,60
2011-01-29,65
2011-02-05,68
2011-02-12,65
2011-02-19,61
2011-02-26,61
2011-03-05,75
2011-03-12,66
2011-03-19,76
2011-03-26,75
2011-04-02,73
2011-04-09,69
2011-04-16,78
2011-04-23,60
2011-04-30,63
2011-05-07,65
2011-05-14,62
2011-05-21,60
2011-05-28,68
2011-06-04,66
2011-06-11,75
2011-06-18,73
2011-06-25,66
2011-07-02,75
2011-07-09,80
2011-07-16,68
2011-07-23,79
2011-07-30,81
2011-08-06,80
2011-08-13,80
2011-08-20,83
2011-08-27,76
2011-09-03,79
2011-09-10,70
2011-09-17,72
2011-09-24,73
2011-10-01,83
2011-10-08,66
2011-10-15,67
2011-10-22,71
2011-10-29,70
2011-11-05,69
2011-11-12,75
2011-11-19,66
2011-11-26,63
2011-12-03,61
2011-12-10,65
2011-12-17,60
2011-12-24,87
2011-12-31,89
2012-01-07,84
2012-01-14,78
2012-01-21,83
2012-01-28,80
2012-02-04,76
2012-02-11,87
2012-02-18,85
2012-02-25,86
2012-03-03,83
2012-03-10,84
2012-03-17,84
2012-03-24,85
2012-03-31,90
2012-04-07,90
2012-04-14,86
2012-04-21,87
2012-04-28,84
2012-05-05,88
2012-05-12,84
2012-05-19,92
2012-05-26,88
2012-06-02,92
2012-06-09,95
2012-06-16,85
2012-06-23,86
2012-06-30,97
2012-07-07,99
2012-07-14,96
2012-07-21,100
2012-07-28,96
2012-08-04,95
2012-08-11,96
2012-08-18,81
2012-08-25,83
2012-09-01,88
2012-09-08,81
2012-09-15,79
2012-09-22,83
2012-09-29,74
2012-10-06,79
2012-10-13,71
2012-10-20,69
2012-10-27,60
2012-11-03,68
2012-11-10,70
2012-11-17,68
2012-11-24,63
2012-12-01,62
2012-12-08,72
2012-12-15,72
2012-12-22,92
2012-12-29,100
