,Search Term,health
0,2003-12-27,50.906635955680876
1,2004-01-03,75.56453774671381
2,2004-01-10,79.54161868075138
3,2004-01-17,77.95078630713635
4,2004-01-24,75.56453774671381
5,2004-01-31,75.56453774671381
6,2004-02-07,75.56453774671381
7,2004-02-14,76.35995393352133
8,2004-02-21,74.7691215599063
9,2004-02-28,78.74620249394387
10,2004-03-06,69.2012082522537
11,2004-03-13,75.56453774671381
12,2004-03-20,68.40579206544619
13,2004-03-27,77.15537012032884
14,2004-04-03,70.79204062586872
15,2004-04-10,73.17828918629127
16,2004-04-17,73.17828918629127
17,2004-04-24,76.35995393352133
18,2004-05-01,74.7691215599063
19,2004-05-08,69.99662443906121
20,2004-05-15,73.97370537309878
21,2004-05-22,71.58745681267624
22,2004-05-29,67.61037587863868
23,2004-06-05,71.58745681267624
24,2004-06-12,64.42871113140862
25,2004-06-19,70.79204062586872
26,2004-06-26,66.01954350502365
27,2004-07-03,66.81495969183116
28,2004-07-10,65.22412731821613
29,2004-07-17,69.99662443906121
30,2004-07-24,70.79204062586872
31,2004-07-31,68.40579206544619
32,2004-08-07,67.61037587863868
33,2004-08-14,66.81495969183116
34,2004-08-21,69.2012082522537
35,2004-08-28,67.61037587863868
36,2004-09-04,70.79204062586872
37,2004-09-11,77.95078630713635
38,2004-09-18,76.35995393352133
39,2004-09-25,76.35995393352133
40,2004-10-02,77.95078630713635
41,2004-10-09,73.17828918629127
42,2004-10-16,78.74620249394387
43,2004-10-23,78.74620249394387
44,2004-10-30,73.17828918629127
45,2004-11-06,69.2012082522537
46,2004-11-13,78.74620249394387
47,2004-11-20,68.40579206544619
48,2004-11-27,73.17828918629127
49,2004-12-04,67.61037587863868
50,2004-12-11,62.04246257098608
51,2004-12-18,50.906635955680876
52,2004-12-25,51.7020521424884
53,2005-01-01,71.58745681267624
54,2005-01-08,73.97370537309878
55,2005-01-15,71.58745681267624
56,2005-01-22,77.95078630713635
57,2005-01-29,71.58745681267624
58,2005-02-05,74.7691215599063
59,2005-02-12,74.7691215599063
60,2005-02-19,75.56453774671381
61,2005-02-26,77.95078630713635
62,2005-03-05,72.38287299948375
63,2005-03-12,74.7691215599063
64,2005-03-19,70.79204062586872
65,2005-03-26,74.7691215599063
66,2005-04-02,73.17828918629127
67,2005-04-09,77.95078630713635
68,2005-04-16,73.17828918629127
69,2005-04-23,68.40579206544619
70,2005-04-30,73.97370537309878
71,2005-05-07,70.79204062586872
72,2005-05-14,69.2012082522537
73,2005-05-21,69.2012082522537
74,2005-05-28,64.42871113140862
75,2005-06-04,66.01954350502365
76,2005-06-11,65.22412731821613
77,2005-06-18,65.22412731821613
78,2005-06-25,60.451630197371045
79,2005-07-02,60.451630197371045
80,2005-07-09,63.633294944601104
81,2005-07-16,63.633294944601104
82,2005-07-23,64.42871113140862
83,2005-07-30,66.01954350502365
84,2005-08-06,66.81495969183116
85,2005-08-13,64.42871113140862
86,2005-08-20,67.61037587863868
87,2005-08-27,61.24704638417856
88,2005-09-03,64.42871113140862
89,2005-09-10,70.79204062586872
90,2005-09-17,71.58745681267624
91,2005-09-24,71.58745681267624
92,2005-10-01,73.97370537309878
93,2005-10-08,71.58745681267624
94,2005-10-15,70.79204062586872
95,2005-10-22,66.81495969183116
96,2005-10-29,70.79204062586872
97,2005-11-05,69.2012082522537
98,2005-11-12,69.2012082522537
99,2005-11-19,62.83787875779359
100,2005-11-26,67.61037587863868
101,2005-12-03,66.01954350502365
102,2005-12-10,58.86079782375603
103,2005-12-17,52.49746832929591
104,2005-12-24,49.315803582065854
105,2005-12-31,62.83787875779359
106,2006-01-07,71.58745681267624
107,2006-01-14,71.58745681267624
108,2006-01-21,68.40579206544619
109,2006-01-28,69.2012082522537
110,2006-02-04,66.81495969183116
111,2006-02-11,66.01954350502365
112,2006-02-18,68.40579206544619
113,2006-02-25,68.40579206544619
114,2006-03-04,71.58745681267624
115,2006-03-11,68.40579206544619
116,2006-03-18,68.40579206544619
117,2006-03-25,68.40579206544619
118,2006-04-01,68.40579206544619
119,2006-04-08,63.633294944601104
120,2006-04-15,65.22412731821613
121,2006-04-22,66.81495969183116
122,2006-04-29,69.2012082522537
123,2006-05-06,68.40579206544619
124,2006-05-13,65.22412731821613
125,2006-05-20,62.04246257098608
126,2006-05-27,58.86079782375603
127,2006-06-03,63.633294944601104
128,2006-06-10,59.65621401056354
129,2006-06-17,62.04246257098608
130,2006-06-24,60.451630197371045
131,2006-07-01,56.474549263333486
132,2006-07-08,61.24704638417856
133,2006-07-15,62.83787875779359
134,2006-07-22,59.65621401056354
135,2006-07-29,59.65621401056354
136,2006-08-05,60.451630197371045
137,2006-08-12,61.24704638417856
138,2006-08-19,58.86079782375603
139,2006-08-26,59.65621401056354
140,2006-09-02,58.06538163694851
141,2006-09-09,63.633294944601104
142,2006-09-16,66.81495969183116
143,2006-09-23,66.81495969183116
144,2006-09-30,66.01954350502365
145,2006-10-07,63.633294944601104
146,2006-10-14,66.01954350502365
147,2006-10-21,64.42871113140862
148,2006-10-28,62.83787875779359
149,2006-11-04,66.01954350502365
150,2006-11-11,63.633294944601104
151,2006-11-18,58.86079782375603
152,2006-11-25,62.04246257098608
153,2006-12-02,60.451630197371045
154,2006-12-09,55.679133076525964
155,2006-12-16,47.724971208450825
156,2006-12-23,43.74789027441326
157,2006-12-30,58.06538163694851
158,2007-01-06,66.01954350502365
159,2007-01-13,63.633294944601104
160,2007-01-20,66.81495969183116
161,2007-01-27,62.04246257098608
162,2007-02-03,63.633294944601104
163,2007-02-10,60.451630197371045
