Search Term,sustainability
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,86
2008-12-06,78
2008-12-13,64
2008-12-20,33
2008-12-27,36
2009-01-03,64
2009-01-10,73
2009-01-17,73
2009-01-24,79
2009-01-31,80
2009-02-07,80
2009-02-14,82
2009-02-21,81
2009-02-28,87
2009-03-07,86
2009-03-14,89
2009-03-21,94
2009-03-28,95
2009-04-04,79
2009-04-11,88
2009-04-18,93
2009-04-25,86
2009-05-02,90
2009-05-09,91
2009-05-16,90
2009-05-23,86
2009-05-30,90
2009-06-06,89
2009-06-13,84
2009-06-20,71
2009-06-27,65
2009-07-04,62
2009-07-11,58
2009-07-18,60
2009-07-25,58
2009-08-01,59
2009-08-08,65
2009-08-15,70
2009-08-22,81
2009-08-29,78
2009-09-05,87
2009-09-12,87
2009-09-19,96
2009-09-26,97
2009-10-03,97
2009-10-10,94
2009-10-17,91
2009-10-24,91
2009-10-31,88
2009-11-07,99
2009-11-14,100
2009-11-21,95
2009-11-28,94
2009-12-05,85
2009-12-12,69
2009-12-19,40
2009-12-26,37
2010-01-02,66
2010-01-09,72
2010-01-16,79
2010-01-23,78
2010-01-30,82
2010-02-06,84
2010-02-13,74
2010-02-20,90
2010-02-27,89
2010-03-06,91
2010-03-13,96
2010-03-20,95
2010-03-27,80
2010-04-03,83
2010-04-10,92
2010-04-17,94
2010-04-24,95
2010-05-01,89
2010-05-08,93
2010-05-15,98
2010-05-22,85
2010-05-29,84
2010-06-05,85
2010-06-12,77
2010-06-19,71
2010-06-26,63
2010-07-03,60
2010-07-10,59
2010-07-17,59
2010-07-24,56
2010-07-31,57
2010-08-07,62
2010-08-14,65
2010-08-21,75
2010-08-28,73
2010-09-04,83
2010-09-11,82
2010-09-18,84
2010-09-25,89
2010-10-02,90
2010-10-09,90
2010-10-16,90
2010-10-23,87
2010-10-30,92
2010-11-06,92
2010-11-13,94
2010-11-20,89
2010-11-27,83
2010-12-04,81
2010-12-11,64
2010-12-18,44
2010-12-25,34
2011-01-01,55
2011-01-08,71
2011-01-15,71
2011-01-22,69
2011-01-29,73
2011-02-05,79
2011-02-12,79
2011-02-19,79
2011-02-26,78
2011-03-05,77
2011-03-12,81
2011-03-19,85
2011-03-26,92
2011-04-02,87
2011-04-09,84
2011-04-16,67
2011-04-23,76
2011-04-30,81
2011-05-07,87
2011-05-14,86
2011-05-21,87
2011-05-28,79
2011-06-04,86
2011-06-11,75
2011-06-18,69
2011-06-25,64
2011-07-02,58
2011-07-09,55
2011-07-16,55
2011-07-23,53
2011-07-30,55
2011-08-06,59
2011-08-13,68
2011-08-20,71
2011-08-27,74
2011-09-03,77
2011-09-10,84
2011-09-17,86
2011-09-24,88
2011-10-01,82
2011-10-08,87
2011-10-15,88
2011-10-22,88
2011-10-29,84
2011-11-05,91
2011-11-12,90
2011-11-19,90
2011-11-26,90
2011-12-03,78
2011-12-10,65
2011-12-17,45
2011-12-24,32
2011-12-31,51
2012-01-07,69
2012-01-14,69
2012-01-21,67
2012-01-28,73
2012-02-04,74
2012-02-11,70
2012-02-18,73
2012-02-25,80
2012-03-03,81
2012-03-10,81
2012-03-17,83
2012-03-24,81
2012-03-31,62
2012-04-07,74
2012-04-14,85
2012-04-21,87
2012-04-28,77
2012-05-05,87
2012-05-12,81
2012-05-19,88
2012-05-26,83
2012-06-02,78
2012-06-09,83
2012-06-16,80
2012-06-23,69
2012-06-30,58
2012-07-07,56
2012-07-14,57
2012-07-21,55
2012-07-28,54
2012-08-04,56
2012-08-11,63
2012-08-18,72
2012-08-25,79
2012-09-01,77
2012-09-08,85
2012-09-15,84
2012-09-22,82
2012-09-29,83
2012-10-06,81
2012-10-13,83
2012-10-20,86
2012-10-27,78
2012-11-03,88
2012-11-10,80
2012-11-17,82
2012-11-24,81
2012-12-01,72
2012-12-08,65
2012-12-15,48
2012-12-22,27
2012-12-29,36
