Search Term,animal welfare
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,60
2016-12-03,58
2016-12-10,57
2016-12-17,42
2016-12-24,36
2016-12-31,47
2017-01-07,54
2017-01-14,57
2017-01-21,56
2017-01-28,61
2017-02-04,69
2017-02-11,57
2017-02-18,56
2017-02-25,61
2017-03-04,59
2017-03-11,57
2017-03-18,59
2017-03-25,61
2017-04-01,57
2017-04-08,48
2017-04-15,51
2017-04-22,58
2017-04-29,60
2017-05-06,59
2017-05-13,64
2017-05-20,63
2017-05-27,60
2017-06-03,61
2017-06-10,56
2017-06-17,56
2017-06-24,55
2017-07-01,53
2017-07-08,53
2017-07-15,54
2017-07-22,57
2017-07-29,51
2017-08-05,53
2017-08-12,54
2017-08-19,50
2017-08-26,50
2017-09-02,53
2017-09-09,56
2017-09-16,59
2017-09-23,56
2017-09-30,59
2017-10-07,58
2017-10-14,54
2017-10-21,58
2017-10-28,58
2017-11-04,60
2017-11-11,61
2017-11-18,64
2017-11-25,59
2017-12-02,58
2017-12-09,54
2017-12-16,46
2017-12-23,36
2017-12-30,46
2018-01-06,55
2018-01-13,54
2018-01-20,56
2018-01-27,59
2018-02-03,55
2018-02-10,53
2018-02-17,71
2018-02-24,86
2018-03-03,90
2018-03-10,91
2018-03-17,91
2018-03-24,83
2018-03-31,83
2018-04-07,93
2018-04-14,85
2018-04-21,94
2018-04-28,90
2018-05-05,86
2018-05-12,100
2018-05-19,94
2018-05-26,83
2018-06-02,94
2018-06-09,92
2018-06-16,81
2018-06-23,80
2018-06-30,84
2018-07-07,99
2018-07-14,82
2018-07-21,80
2018-07-28,82
2018-08-04,83
2018-08-11,83
2018-08-18,84
2018-08-25,82
2018-09-01,80
2018-09-08,86
2018-09-15,88
2018-09-22,88
2018-09-29,88
2018-10-06,85
2018-10-13,86
2018-10-20,82
2018-10-27,80
2018-11-03,85
2018-11-10,81
2018-11-17,78
2018-11-24,85
2018-12-01,86
2018-12-08,86
2018-12-15,72
2018-12-22,60
2018-12-29,70
2019-01-05,84
2019-01-12,83
2019-01-19,86
2019-01-26,82
2019-02-02,86
2019-02-09,85
2019-02-16,81
2019-02-23,81
2019-03-02,84
2019-03-09,80
2019-03-16,82
2019-03-23,80
2019-03-30,90
2019-04-06,82
2019-04-13,78
2019-04-20,77
2019-04-27,82
2019-05-04,87
2019-05-11,85
2019-05-18,88
2019-05-25,91
2019-06-01,91
2019-06-08,90
2019-06-15,90
2019-06-22,81
2019-06-29,70
2019-07-06,90
2019-07-13,86
2019-07-20,85
2019-07-27,81
2019-08-03,79
2019-08-10,92
2019-08-17,83
2019-08-24,78
2019-08-31,80
2019-09-07,80
2019-09-14,92
2019-09-21,85
2019-09-28,93
2019-10-05,81
2019-10-12,78
2019-10-19,81
2019-10-26,75
2019-11-02,83
2019-11-09,79
2019-11-16,79
2019-11-23,76
2019-11-30,82
2019-12-07,78
2019-12-14,71
2019-12-21,53
2019-12-28,62
2020-01-04,80
2020-01-11,78
2020-01-18,86
2020-01-25,78
2020-02-01,77
2020-02-08,79
2020-02-15,77
2020-02-22,71
2020-02-29,75
