Search Term,sustainability
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,92
2012-12-01,82
2012-12-08,74
2012-12-15,55
2012-12-22,30
2012-12-29,41
2013-01-05,69
2013-01-12,71
2013-01-19,72
2013-01-26,72
2013-02-02,75
2013-02-09,71
2013-02-16,77
2013-02-23,78
2013-03-02,82
2013-03-09,85
2013-03-16,89
2013-03-23,70
2013-03-30,76
2013-04-06,85
2013-04-13,87
2013-04-20,86
2013-04-27,83
2013-05-04,83
2013-05-11,85
2013-05-18,83
2013-05-25,82
2013-06-01,81
2013-06-08,78
2013-06-15,69
2013-06-22,63
2013-06-29,54
2013-07-06,54
2013-07-13,53
2013-07-20,50
2013-07-27,52
2013-08-03,57
2013-08-10,61
2013-08-17,72
2013-08-24,76
2013-08-31,74
2013-09-07,78
2013-09-14,79
2013-09-21,82
2013-09-28,85
2013-10-05,86
2013-10-12,86
2013-10-19,90
2013-10-26,86
2013-11-02,86
2013-11-09,89
2013-11-16,89
2013-11-23,89
2013-11-30,81
2013-12-07,75
2013-12-14,59
2013-12-21,27
2013-12-28,36
2014-01-04,66
2014-01-11,69
2014-01-18,70
2014-01-25,69
2014-02-01,72
2014-02-08,77
2014-02-15,77
2014-02-22,76
2014-03-01,77
2014-03-08,80
2014-03-15,80
2014-03-22,83
2014-03-29,81
2014-04-05,82
2014-04-12,64
2014-04-19,75
2014-04-26,78
2014-05-03,85
2014-05-10,84
2014-05-17,91
2014-05-24,85
2014-05-31,85
2014-06-07,70
2014-06-14,65
2014-06-21,61
2014-06-28,55
2014-07-05,54
2014-07-12,55
2014-07-19,56
2014-07-26,54
2014-08-02,59
2014-08-09,64
2014-08-16,71
2014-08-23,76
2014-08-30,77
2014-09-06,81
2014-09-13,84
2014-09-20,90
2014-09-27,84
2014-10-04,86
2014-10-11,86
2014-10-18,80
2014-10-25,85
2014-11-01,99
2014-11-08,100
2014-11-15,94
2014-11-22,86
2014-11-29,82
2014-12-06,75
2014-12-13,58
2014-12-20,29
2014-12-27,29
2015-01-03,58
2015-01-10,66
2015-01-17,69
2015-01-24,71
2015-01-31,73
2015-02-07,75
2015-02-14,68
2015-02-21,79
2015-02-28,79
2015-03-07,80
2015-03-14,79
2015-03-21,80
2015-03-28,65
2015-04-04,74
2015-04-11,86
2015-04-18,86
2015-04-25,81
2015-05-02,85
2015-05-09,86
2015-05-16,87
2015-05-23,82
2015-05-30,82
2015-06-06,76
2015-06-13,72
2015-06-20,64
2015-06-27,57
2015-07-04,55
2015-07-11,51
2015-07-18,52
2015-07-25,49
2015-08-01,53
2015-08-08,58
2015-08-15,64
2015-08-22,75
2015-08-29,77
2015-09-05,76
2015-09-12,83
2015-09-19,90
2015-09-26,91
2015-10-03,90
2015-10-10,90
2015-10-17,85
2015-10-24,80
2015-10-31,85
2015-11-07,88
2015-11-14,87
2015-11-21,85
2015-11-28,84
2015-12-05,75
2015-12-12,64
2015-12-19,31
2015-12-26,31
2016-01-02,58
2016-01-09,69
2016-01-16,70
2016-01-23,73
2016-01-30,72
2016-02-06,76
2016-02-13,77
2016-02-20,81
2016-02-27,83
2016-03-05,84
2016-03-12,83
2016-03-19,67
2016-03-26,77
2016-04-02,79
2016-04-09,89
2016-04-16,85
2016-04-23,87
2016-04-30,87
2016-05-07,86
2016-05-14,88
2016-05-21,85
2016-05-28,87
2016-06-04,82
2016-06-11,73
2016-06-18,66
2016-06-25,60
2016-07-02,54
2016-07-09,55
2016-07-16,52
2016-07-23,54
2016-07-30,55
2016-08-06,59
2016-08-13,56
2016-08-20,71
2016-08-27,73
2016-09-03,79
2016-09-10,77
2016-09-17,88
2016-09-24,83
2016-10-01,81
2016-10-08,85
2016-10-15,86
2016-10-22,87
2016-10-29,85
2016-11-05,80
2016-11-12,83
2016-11-19,75
2016-11-26,78
2016-12-03,67
2016-12-10,63
2016-12-17,46
2016-12-24,31
2016-12-31,51
