Search Term,health
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,57
2008-12-06,54
2008-12-13,51
2008-12-20,37
2008-12-27,47
2009-01-03,59
2009-01-10,64
2009-01-17,60
2009-01-24,64
2009-01-31,60
2009-02-07,62
2009-02-14,61
2009-02-21,62
2009-02-28,62
2009-03-07,63
2009-03-14,63
2009-03-21,62
2009-03-28,63
2009-04-04,59
2009-04-11,61
2009-04-18,61
2009-04-25,68
2009-05-02,63
2009-05-09,61
2009-05-16,61
2009-05-23,58
2009-05-30,60
2009-06-06,59
2009-06-13,60
2009-06-20,55
2009-06-27,54
2009-07-04,56
2009-07-11,60
2009-07-18,60
2009-07-25,61
2009-08-01,62
2009-08-08,68
2009-08-15,67
2009-08-22,62
2009-08-29,61
2009-09-05,67
2009-09-12,64
2009-09-19,61
2009-09-26,63
2009-10-03,66
2009-10-10,64
2009-10-17,65
2009-10-24,64
2009-10-31,67
2009-11-07,64
2009-11-14,66
2009-11-21,56
2009-11-28,59
2009-12-05,55
2009-12-12,53
2009-12-19,44
2009-12-26,44
2010-01-02,60
2010-01-09,61
2010-01-16,60
2010-01-23,58
2010-01-30,60
2010-02-06,57
2010-02-13,55
2010-02-20,62
2010-02-27,61
2010-03-06,61
2010-03-13,67
2010-03-20,100
2010-03-27,63
2010-04-03,65
2010-04-10,63
2010-04-17,65
2010-04-24,70
2010-05-01,62
2010-05-08,62
2010-05-15,60
2010-05-22,55
2010-05-29,52
2010-06-05,54
2010-06-12,52
2010-06-19,54
2010-06-26,55
2010-07-03,53
2010-07-10,53
2010-07-17,53
2010-07-24,50
2010-07-31,54
2010-08-07,55
2010-08-14,53
2010-08-21,54
2010-08-28,53
2010-09-04,53
2010-09-11,56
2010-09-18,58
2010-09-25,57
2010-10-02,60
2010-10-09,56
2010-10-16,57
2010-10-23,57
2010-10-30,58
2010-11-06,55
2010-11-13,54
2010-11-20,49
2010-11-27,54
2010-12-04,51
2010-12-11,47
2010-12-18,39
2010-12-25,43
2011-01-01,58
2011-01-08,58
2011-01-15,60
2011-01-22,58
2011-01-29,59
2011-02-05,59
2011-02-12,58
2011-02-19,55
2011-02-26,55
2011-03-05,58
2011-03-12,55
2011-03-19,58
2011-03-26,58
2011-04-02,59
2011-04-09,57
2011-04-16,54
2011-04-23,54
2011-04-30,54
2011-05-07,55
2011-05-14,54
2011-05-21,54
2011-05-28,55
2011-06-04,57
2011-06-11,55
2011-06-18,54
2011-06-25,52
2011-07-02,50
2011-07-09,51
2011-07-16,49
2011-07-23,52
2011-07-30,51
2011-08-06,52
2011-08-13,53
2011-08-20,54
2011-08-27,51
2011-09-03,51
2011-09-10,58
2011-09-17,57
2011-09-24,56
2011-10-01,54
2011-10-08,54
2011-10-15,54
2011-10-22,55
2011-10-29,54
2011-11-05,55
2011-11-12,56
2011-11-19,50
2011-11-26,53
2011-12-03,50
2011-12-10,49
2011-12-17,42
2011-12-24,40
2011-12-31,54
2012-01-07,56
2012-01-14,55
2012-01-21,57
2012-01-28,53
2012-02-04,55
2012-02-11,55
2012-02-18,55
2012-02-25,57
2012-03-03,57
2012-03-10,57
2012-03-17,57
2012-03-24,56
2012-03-31,51
2012-04-07,54
2012-04-14,57
2012-04-21,57
2012-04-28,53
2012-05-05,55
2012-05-12,55
2012-05-19,53
2012-05-26,51
2012-06-02,49
2012-06-09,51
2012-06-16,54
2012-06-23,57
2012-06-30,49
2012-07-07,50
2012-07-14,51
2012-07-21,49
2012-07-28,51
2012-08-04,50
2012-08-11,51
2012-08-18,51
2012-08-25,55
2012-09-01,53
2012-09-08,55
2012-09-15,54
2012-09-22,56
2012-09-29,56
2012-10-06,54
2012-10-13,55
2012-10-20,52
2012-10-27,50
2012-11-03,53
2012-11-10,52
2012-11-17,47
2012-11-24,52
2012-12-01,51
2012-12-08,49
2012-12-15,44
2012-12-22,34
2012-12-29,46
