Search Term,health
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,83
2012-12-01,81
2012-12-08,77
2012-12-15,70
2012-12-22,55
2012-12-29,73
2013-01-05,85
2013-01-12,85
2013-01-19,86
2013-01-26,91
2013-02-02,83
2013-02-09,83
2013-02-16,87
2013-02-23,90
2013-03-02,85
2013-03-09,90
2013-03-16,88
2013-03-23,80
2013-03-30,86
2013-04-06,89
2013-04-13,89
2013-04-20,85
2013-04-27,82
2013-05-04,81
2013-05-11,86
2013-05-18,81
2013-05-25,80
2013-06-01,81
2013-06-08,80
2013-06-15,81
2013-06-22,81
2013-06-29,73
2013-07-06,81
2013-07-13,82
2013-07-20,79
2013-07-27,82
2013-08-03,81
2013-08-10,82
2013-08-17,85
2013-08-24,86
2013-08-31,80
2013-09-07,85
2013-09-14,88
2013-09-21,88
2013-09-28,100
2013-10-05,89
2013-10-12,86
2013-10-19,92
2013-10-26,88
2013-11-02,90
2013-11-09,92
2013-11-16,87
2013-11-23,82
2013-11-30,81
2013-12-07,86
2013-12-14,76
2013-12-21,61
2013-12-28,80
2014-01-04,95
2014-01-11,92
2014-01-18,88
2014-01-25,90
2014-02-01,86
2014-02-08,85
2014-02-15,88
2014-02-22,91
2014-03-01,90
2014-03-08,90
2014-03-15,90
2014-03-22,94
2014-03-29,97
2014-04-05,91
2014-04-12,79
2014-04-19,87
2014-04-26,86
2014-05-03,84
2014-05-10,95
2014-05-17,86
2014-05-24,83
2014-05-31,85
2014-06-07,79
2014-06-14,81
2014-06-21,80
2014-06-28,77
2014-07-05,80
2014-07-12,79
2014-07-19,80
2014-07-26,78
2014-08-02,82
2014-08-09,79
2014-08-16,89
2014-08-23,84
2014-08-30,87
2014-09-06,88
2014-09-13,89
2014-09-20,90
2014-09-27,91
2014-10-04,90
2014-10-11,93
2014-10-18,88
2014-10-25,88
2014-11-01,89
2014-11-08,98
2014-11-15,85
2014-11-22,79
2014-11-29,86
2014-12-06,82
2014-12-13,76
2014-12-20,57
2014-12-27,66
2015-01-03,90
2015-01-10,92
2015-01-17,91
2015-01-24,84
2015-01-31,90
2015-02-07,90
2015-02-14,90
2015-02-21,90
2015-02-28,90
2015-03-07,96
2015-03-14,88
2015-03-21,89
2015-03-28,81
2015-04-04,92
2015-04-11,91
2015-04-18,89
2015-04-25,85
2015-05-02,89
2015-05-09,89
2015-05-16,87
2015-05-23,83
2015-05-30,84
2015-06-06,82
2015-06-13,86
2015-06-20,82
2015-06-27,82
2015-07-04,85
2015-07-11,78
2015-07-18,83
2015-07-25,85
2015-08-01,86
2015-08-08,83
2015-08-15,84
2015-08-22,85
2015-08-29,83
2015-09-05,88
2015-09-12,87
2015-09-19,87
2015-09-26,86
2015-10-03,86
2015-10-10,88
2015-10-17,91
2015-10-24,85
2015-10-31,91
2015-11-07,90
2015-11-14,87
2015-11-21,80
2015-11-28,84
2015-12-05,81
2015-12-12,81
2015-12-19,62
2015-12-26,69
2016-01-02,88
2016-01-09,94
2016-01-16,91
2016-01-23,92
2016-01-30,93
2016-02-06,91
2016-02-13,92
2016-02-20,98
2016-02-27,94
2016-03-05,93
2016-03-12,93
2016-03-19,82
2016-03-26,91
2016-04-02,99
2016-04-09,94
2016-04-16,88
2016-04-23,88
2016-04-30,88
2016-05-07,83
2016-05-14,90
2016-05-21,84
2016-05-28,82
2016-06-04,84
2016-06-11,86
2016-06-18,82
2016-06-25,77
2016-07-02,75
2016-07-09,80
2016-07-16,83
2016-07-23,84
2016-07-30,86
2016-08-06,83
2016-08-13,83
2016-08-20,82
2016-08-27,92
2016-09-03,90
2016-09-10,93
2016-09-17,92
2016-09-24,89
2016-10-01,87
2016-10-08,93
2016-10-15,94
2016-10-22,98
2016-10-29,83
2016-11-05,86
2016-11-12,87
2016-11-19,76
2016-11-26,87
2016-12-03,90
2016-12-10,76
2016-12-17,65
2016-12-24,64
2016-12-31,86
