Search Term,sustainability
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,61
2016-12-03,52
2016-12-10,49
2016-12-17,36
2016-12-24,24
2016-12-31,40
2017-01-07,56
2017-01-14,54
2017-01-21,59
2017-01-28,58
2017-02-04,59
2017-02-11,64
2017-02-18,64
2017-02-25,65
2017-03-04,70
2017-03-11,66
2017-03-18,73
2017-03-25,73
2017-04-01,72
2017-04-08,59
2017-04-15,66
2017-04-22,73
2017-04-29,72
2017-05-06,75
2017-05-13,70
2017-05-20,68
2017-05-27,66
2017-06-03,67
2017-06-10,59
2017-06-17,55
2017-06-24,51
2017-07-01,48
2017-07-08,46
2017-07-15,45
2017-07-22,43
2017-07-29,48
2017-08-05,46
2017-08-12,52
2017-08-19,61
2017-08-26,63
2017-09-02,61
2017-09-09,68
2017-09-16,74
2017-09-23,73
2017-09-30,66
2017-10-07,68
2017-10-14,68
2017-10-21,68
2017-10-28,66
2017-11-04,70
2017-11-11,72
2017-11-18,68
2017-11-25,67
2017-12-02,67
2017-12-09,58
2017-12-16,40
2017-12-23,24
2017-12-30,34
2018-01-06,53
2018-01-13,54
2018-01-20,58
2018-01-27,61
2018-02-03,63
2018-02-10,58
2018-02-17,62
2018-02-24,65
2018-03-03,65
2018-03-10,68
2018-03-17,71
2018-03-24,57
2018-03-31,61
2018-04-07,71
2018-04-14,71
2018-04-21,70
2018-04-28,64
2018-05-05,63
2018-05-12,65
2018-05-19,63
2018-05-26,63
2018-06-02,63
2018-06-09,56
2018-06-16,51
2018-06-23,46
2018-06-30,42
2018-07-07,43
2018-07-14,43
2018-07-21,43
2018-07-28,46
2018-08-04,50
2018-08-11,52
2018-08-18,55
2018-08-25,58
2018-09-01,60
2018-09-08,64
2018-09-15,66
2018-09-22,62
2018-09-29,64
2018-10-06,68
2018-10-13,71
2018-10-20,69
2018-10-27,66
2018-11-03,73
2018-11-10,70
2018-11-17,69
2018-11-24,75
2018-12-01,69
2018-12-08,64
2018-12-15,50
2018-12-22,30
2018-12-29,37
2019-01-05,56
2019-01-12,58
2019-01-19,62
2019-01-26,61
2019-02-02,64
2019-02-09,68
2019-02-16,73
2019-02-23,70
2019-03-02,72
2019-03-09,72
2019-03-16,74
2019-03-23,78
2019-03-30,76
2019-04-06,75
2019-04-13,65
2019-04-20,73
2019-04-27,81
2019-05-04,80
2019-05-11,82
2019-05-18,76
2019-05-25,76
2019-06-01,76
2019-06-08,73
2019-06-15,74
2019-06-22,67
2019-06-29,60
2019-07-06,60
2019-07-13,61
2019-07-20,56
2019-07-27,61
2019-08-03,62
2019-08-10,69
2019-08-17,79
2019-08-24,86
2019-08-31,88
2019-09-07,94
2019-09-14,93
2019-09-21,99
2019-09-28,93
2019-10-05,92
2019-10-12,92
2019-10-19,89
2019-10-26,86
2019-11-02,94
2019-11-09,93
2019-11-16,100
2019-11-23,93
2019-11-30,93
2019-12-07,80
2019-12-14,68
2019-12-21,40
2019-12-28,47
2020-01-04,78
2020-01-11,83
2020-01-18,85
2020-01-25,86
2020-02-01,91
2020-02-08,94
2020-02-15,95
2020-02-22,92
2020-02-29,93
