,Search Term,sustainability
0,2003-12-27,32.121495751912335
1,2004-01-03,48.1822436278685
2,2004-01-10,52.679253033136234
3,2004-01-17,48.824673542906744
4,2004-01-24,53.32168294817446
5,2004-01-31,54.60654277825097
6,2004-02-07,57.17626243840396
7,2004-02-14,53.96411286321272
8,2004-02-21,53.96411286321272
9,2004-02-28,60.388412013595186
10,2004-03-06,51.39439320305974
11,2004-03-13,59.74598209855694
12,2004-03-20,50.751963288021486
13,2004-03-27,58.461122268480445
14,2004-04-03,55.24897269328921
15,2004-04-10,55.89140260832745
16,2004-04-17,59.74598209855694
17,2004-04-24,61.67327184367167
18,2004-05-01,61.03084192863343
19,2004-05-08,63.60056158878642
20,2004-05-15,60.388412013595186
21,2004-05-22,64.24299150382467
22,2004-05-29,55.24897269328921
23,2004-06-05,57.81869235344219
24,2004-06-12,52.679253033136234
25,2004-06-19,49.467103457944994
26,2004-06-26,46.897383797792
27,2004-07-03,40.473084647409536
28,2004-07-10,39.188224817333044
29,2004-07-17,38.5457949022948
30,2004-07-24,38.5457949022948
31,2004-07-31,39.188224817333044
32,2004-08-07,38.5457949022948
33,2004-08-14,43.04280430756253
34,2004-08-21,47.53981371283025
35,2004-08-28,48.1822436278685
36,2004-09-04,50.751963288021486
37,2004-09-11,52.679253033136234
38,2004-09-18,54.60654277825097
39,2004-09-25,52.679253033136234
40,2004-10-02,57.17626243840396
41,2004-10-09,53.32168294817446
42,2004-10-16,60.388412013595186
43,2004-10-23,58.461122268480445
44,2004-10-30,54.60654277825097
45,2004-11-06,55.89140260832745
46,2004-11-13,62.95813167374818
47,2004-11-20,62.95813167374818
48,2004-11-27,59.103552183518694
49,2004-12-04,53.32168294817446
50,2004-12-11,51.39439320305974
51,2004-12-18,33.40635558198883
52,2004-12-25,26.98205643160636
53,2005-01-01,40.473084647409536
54,2005-01-08,48.824673542906744
55,2005-01-15,44.97009405267727
56,2005-01-22,46.897383797792
57,2005-01-29,46.25495388275376
58,2005-02-05,45.61252396771551
59,2005-02-12,48.1822436278685
60,2005-02-19,53.32168294817446
61,2005-02-26,53.32168294817446
62,2005-03-05,52.679253033136234
63,2005-03-12,53.32168294817446
64,2005-03-19,47.53981371283025
65,2005-03-26,48.824673542906744
66,2005-04-02,53.96411286321272
67,2005-04-09,55.24897269328921
68,2005-04-16,55.89140260832745
69,2005-04-23,55.89140260832745
70,2005-04-30,52.679253033136234
71,2005-05-07,53.96411286321272
72,2005-05-14,55.89140260832745
73,2005-05-21,54.60654277825097
74,2005-05-28,53.32168294817446
75,2005-06-04,52.03682311809798
76,2005-06-11,49.467103457944994
77,2005-06-18,44.97009405267727
78,2005-06-25,40.473084647409536
79,2005-07-02,34.04878549702707
80,2005-07-09,36.61850515718006
81,2005-07-16,35.33364532710357
82,2005-07-23,34.69121541206532
83,2005-07-30,34.69121541206532
84,2005-08-06,37.90336498725655
85,2005-08-13,37.90336498725655
86,2005-08-20,41.115514562447785
87,2005-08-27,42.40037439252428
88,2005-09-03,44.97009405267727
89,2005-09-10,47.53981371283025
90,2005-09-17,47.53981371283025
91,2005-09-24,47.53981371283025
92,2005-10-01,52.03682311809798
93,2005-10-08,48.824673542906744
94,2005-10-15,53.32168294817446
95,2005-10-22,48.824673542906744
96,2005-10-29,52.03682311809798
97,2005-11-05,49.467103457944994
98,2005-11-12,51.39439320305974
99,2005-11-19,50.109533372983236
100,2005-11-26,50.109533372983236
101,2005-12-03,46.897383797792
102,2005-12-10,42.40037439252428
103,2005-12-17,32.121495751912335
104,2005-12-24,23.769906856415126
105,2005-12-31,32.76392566695058
106,2006-01-07,41.757944477486035
107,2006-01-14,43.04280430756253
108,2006-01-21,42.40037439252428
109,2006-01-28,46.897383797792
110,2006-02-04,48.1822436278685
111,2006-02-11,43.68523422260077
112,2006-02-18,44.32766413763902
113,2006-02-25,47.53981371283025
114,2006-03-04,48.1822436278685
115,2006-03-11,47.53981371283025
116,2006-03-18,45.61252396771551
117,2006-03-25,46.25495388275376
118,2006-04-01,47.53981371283025
119,2006-04-08,41.115514562447785
120,2006-04-15,44.97009405267727
121,2006-04-22,45.61252396771551
122,2006-04-29,46.25495388275376
123,2006-05-06,47.53981371283025
124,2006-05-13,46.897383797792
125,2006-05-20,40.473084647409536
126,2006-05-27,50.109533372983236
127,2006-06-03,57.81869235344219
128,2006-06-10,46.25495388275376
129,2006-06-17,40.473084647409536
130,2006-06-24,36.61850515718006
131,2006-07-01,32.76392566695058
132,2006-07-08,32.121495751912335
133,2006-07-15,32.121495751912335
134,2006-07-22,29.551776091759347
135,2006-07-29,30.194206006797593
136,2006-08-05,32.121495751912335
137,2006-08-12,34.69121541206532
138,2006-08-19,34.04878549702707
139,2006-08-26,37.90336498725655
140,2006-09-02,36.61850515718006
141,2006-09-09,43.04280430756253
142,2006-09-16,39.83065473237129
143,2006-09-23,44.97009405267727
144,2006-09-30,39.188224817333044
145,2006-10-07,43.68523422260077
146,2006-10-14,48.1822436278685
147,2006-10-21,43.04280430756253
148,2006-10-28,41.757944477486035
149,2006-11-04,43.04280430756253
150,2006-11-11,43.68523422260077
151,2006-11-18,44.32766413763902
152,2006-11-25,42.40037439252428
153,2006-12-02,43.68523422260077
154,2006-12-09,39.83065473237129
155,2006-12-16,30.194206006797593
156,2006-12-23,18.63046753610915
157,2006-12-30,27.624486346644606
158,2007-01-06,35.97607524214181
159,2007-01-13,37.2609350722183
160,2007-01-20,36.61850515718006
161,2007-01-27,39.83065473237129
162,2007-02-03,39.83065473237129
163,2007-02-10,39.83065473237129
