Search Term,animal welfare
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,91
2008-12-06,90
2008-12-13,76
2008-12-20,60
2008-12-27,78
2009-01-03,92
2009-01-10,87
2009-01-17,87
2009-01-24,100
2009-01-31,88
2009-02-07,97
2009-02-14,86
2009-02-21,98
2009-02-28,82
2009-03-07,96
2009-03-14,93
2009-03-21,95
2009-03-28,98
2009-04-04,85
2009-04-11,89
2009-04-18,96
2009-04-25,88
2009-05-02,96
2009-05-09,99
2009-05-16,93
2009-05-23,83
2009-05-30,93
2009-06-06,89
2009-06-13,81
2009-06-20,79
2009-06-27,75
2009-07-04,76
2009-07-11,77
2009-07-18,76
2009-07-25,82
2009-08-01,75
2009-08-08,81
2009-08-15,92
2009-08-22,79
2009-08-29,81
2009-09-05,89
2009-09-12,86
2009-09-19,86
2009-09-26,90
2009-10-03,95
2009-10-10,92
2009-10-17,89
2009-10-24,86
2009-10-31,86
2009-11-07,88
2009-11-14,93
2009-11-21,91
2009-11-28,87
2009-12-05,85
2009-12-12,73
2009-12-19,58
2009-12-26,65
2010-01-02,82
2010-01-09,88
2010-01-16,88
2010-01-23,86
2010-01-30,92
2010-02-06,82
2010-02-13,83
2010-02-20,90
2010-02-27,89
2010-03-06,84
2010-03-13,87
2010-03-20,86
2010-03-27,82
2010-04-03,79
2010-04-10,82
2010-04-17,88
2010-04-24,92
2010-05-01,83
2010-05-08,88
2010-05-15,87
2010-05-22,83
2010-05-29,83
2010-06-05,76
2010-06-12,75
2010-06-19,77
2010-06-26,75
2010-07-03,74
2010-07-10,77
2010-07-17,78
2010-07-24,74
2010-07-31,75
2010-08-07,76
2010-08-14,76
2010-08-21,78
2010-08-28,74
2010-09-04,78
2010-09-11,82
2010-09-18,84
2010-09-25,82
2010-10-02,81
2010-10-09,82
2010-10-16,83
2010-10-23,75
2010-10-30,82
2010-11-06,88
2010-11-13,88
2010-11-20,80
2010-11-27,80
2010-12-04,79
2010-12-11,71
2010-12-18,52
2010-12-25,55
2011-01-01,82
2011-01-08,79
2011-01-15,81
2011-01-22,81
2011-01-29,73
2011-02-05,80
2011-02-12,73
2011-02-19,71
2011-02-26,81
2011-03-05,76
2011-03-12,73
2011-03-19,84
2011-03-26,82
2011-04-02,85
2011-04-09,76
2011-04-16,69
2011-04-23,68
2011-04-30,79
2011-05-07,81
2011-05-14,75
2011-05-21,72
2011-05-28,71
2011-06-04,75
2011-06-11,73
2011-06-18,72
2011-06-25,70
2011-07-02,70
2011-07-09,66
2011-07-16,65
2011-07-23,68
2011-07-30,66
2011-08-06,64
2011-08-13,71
2011-08-20,64
2011-08-27,67
2011-09-03,69
2011-09-10,76
2011-09-17,78
2011-09-24,78
2011-10-01,77
2011-10-08,75
2011-10-15,77
2011-10-22,69
2011-10-29,74
2011-11-05,78
2011-11-12,76
2011-11-19,73
2011-11-26,75
2011-12-03,71
2011-12-10,70
2011-12-17,54
2011-12-24,51
2011-12-31,70
2012-01-07,79
2012-01-14,74
2012-01-21,77
2012-01-28,76
2012-02-04,74
2012-02-11,71
2012-02-18,79
2012-02-25,77
2012-03-03,75
2012-03-10,74
2012-03-17,74
2012-03-24,70
2012-03-31,63
2012-04-07,67
2012-04-14,76
2012-04-21,77
2012-04-28,71
2012-05-05,71
2012-05-12,74
2012-05-19,72
2012-05-26,67
2012-06-02,66
2012-06-09,68
2012-06-16,71
2012-06-23,69
2012-06-30,65
2012-07-07,66
2012-07-14,67
2012-07-21,63
2012-07-28,61
2012-08-04,62
2012-08-11,67
2012-08-18,69
2012-08-25,71
2012-09-01,69
2012-09-08,75
2012-09-15,72
2012-09-22,71
2012-09-29,78
2012-10-06,71
2012-10-13,75
2012-10-20,74
2012-10-27,64
2012-11-03,75
2012-11-10,71
2012-11-17,65
2012-11-24,70
2012-12-01,68
2012-12-08,64
2012-12-15,57
2012-12-22,47
2012-12-29,62
